Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM May Walker,Totals
"Constable, Precinct 7",0384,1152,444,1596,2725,58.57%,1312,1312
"Constable, Precinct 7",0389,397,293,690,1359,50.77%,598,598
"Constable, Precinct 7",0390,698,271,969,1482,65.38%,850,850
"Constable, Precinct 7",0392,652,145,797,1426,55.89%,770,770
"Constable, Precinct 7",0402,897,262,1159,1911,60.65%,1072,1072
"Constable, Precinct 7",0422,1367,401,1768,3348,52.81%,1688,1688
"Constable, Precinct 7",0458,914,253,1167,2025,57.63%,1073,1073
"Constable, Precinct 7",0462,1474,738,2212,3507,63.07%,1567,1567
"Constable, Precinct 7",0489,865,344,1209,1958,61.75%,927,927
"Constable, Precinct 7",0506,1513,696,2209,3544,62.33%,1889,1889
"Constable, Precinct 7",0525,1440,574,2014,3260,61.78%,1642,1642
"Constable, Precinct 7",0538,371,203,574,1332,43.09%,553,553
"Constable, Precinct 7",0540,997,349,1346,1759,76.52%,933,933
"Constable, Precinct 7",0541,2157,761,2918,5001,58.35%,2501,2501
"Constable, Precinct 7",0542,1156,406,1562,2654,58.85%,1446,1446
"Constable, Precinct 7",0554,597,271,868,1774,48.93%,712,712
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM May Walker,Totals
"Constable, Precinct 7",0555,639,390,1029,2286,45.01%,865,865
"Constable, Precinct 7",0564,1551,526,2077,3240,64.10%,1635,1635
"Constable, Precinct 7",0573,489,215,704,1625,43.32%,684,684
"Constable, Precinct 7",0607,163,51,214,712,30.06%,193,193
"Constable, Precinct 7",0630,2662,541,3203,4738,67.60%,2914,2914
"Constable, Precinct 7",0632,4,1,5,241,2.07%,5,5
"Constable, Precinct 7",0638,850,348,1198,2310,51.86%,1106,1106
"Constable, Precinct 7",0652,1155,545,1710,2979,57.40%,1475,1475
"Constable, Precinct 7",0693,309,110,419,681,61.53%,316,316
"Constable, Precinct 7",0722,1929,609,2538,4638,54.72%,2348,2348
"Constable, Precinct 7",0754,386,262,648,1590,40.75%,609,609
"Constable, Precinct 7",0819,108,31,139,228,60.96%,70,70
"Constable, Precinct 7",0820,0,0,0,0,0.00%,0,0
"Constable, Precinct 7",0822,571,185,756,1574,48.03%,709,709
"Constable, Precinct 7",0858,121,35,156,334,46.71%,147,147
"Constable, Precinct 7",0863,192,64,256,581,44.06%,242,242
"Constable, Precinct 7",0891,753,194,947,1376,68.82%,649,649
"Constable, Precinct 7",0893,1,4,5,9,55.56%,3,3
"Constable, Precinct 7",0931,87,28,115,141,81.56%,77,77
"Constable, Precinct 7",0932,0,1,1,0,0.00%,1,1
"Constable, Precinct 7",0933,297,93,390,668,58.38%,290,290
"Constable, Precinct 7",0947,428,198,626,820,76.34%,339,339
"Constable, Precinct 7",0948,0,0,0,1,0.00%,0,0
"Constable, Precinct 7",0949,84,61,145,210,69.05%,83,83
"Constable, Precinct 7",0969,299,71,370,624,59.29%,359,359
"Constable, Precinct 7",0974,0,1,1,0,0.00%,0,0
"Constable, Precinct 7",0994,55,12,68,75,90.67%,52,52
"Constable, Precinct 7",0995,753,193,946,1576,60.03%,857,857
"Constable, Precinct 7",1010,292,96,388,647,59.97%,320,320
"Constable, Precinct 7",Totals;,76813,28804,105617,185660,91249,91249
