Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0053,1675,613,2288,3083,74.21%,993,1101,2094
"District Judge, 177th Judicial District",0054,1052,211,1263,1619,78.01%,621,537,1158
"District Judge, 177th Judicial District",0055,1262,410,1672,2094,79.85%,714,818,1532
"District Judge, 177th Judicial District",0056,698,283,981,1393,70.42%,564,357,921
"District Judge, 177th Judicial District",0057,2043,567,2610,3325,78.50%,1105,1289,2394
"District Judge, 177th Judicial District",0058,1716,484,2200,3031,72.58%,1027,1014,2041
"District Judge, 177th Judicial District",0059,1589,439,2028,2671,75.93%,888,1006,1894
"District Judge, 177th Judicial District",0060,1473,537,2010,2766,72.67%,573,1287,1860
"District Judge, 177th Judicial District",0061,519,423,942,1847,51.00%,246,633,879
"District Judge, 177th Judicial District",0062,689,452,1141,2195,51.98%,213,845,1058
"District Judge, 177th Judicial District",0063,767,391,1158,1903,60.85%,904,199,1103
"District Judge, 177th Judicial District",0064,678,368,1046,2220,47.12%,202,766,968
"District Judge, 177th Judicial District",0065,638,435,1073,2178,49.27%,174,833,1007
"District Judge, 177th Judicial District",0066,247,255,502,1135,44.23%,87,382,469
"District Judge, 177th Judicial District",0067,942,521,1463,3019,48.46%,273,1073,1346
"District Judge, 177th Judicial District",0068,1171,430,1601,3096,51.71%,50,1490,1540
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0069,375,222,597,1309,45.61%,88,452,540
"District Judge, 177th Judicial District",0070,2288,670,2958,3815,77.54%,1717,1058,2775
"District Judge, 177th Judicial District",0071,2703,947,3650,5016,72.77%,1812,1597,3409
"District Judge, 177th Judicial District",0072,736,418,1154,2029,56.88%,284,790,1074
"District Judge, 177th Judicial District",0073,813,282,1095,1621,67.55%,571,447,1018
"District Judge, 177th Judicial District",0074,2503,268,2771,3578,77.45%,2064,575,2639
"District Judge, 177th Judicial District",0075,1000,286,1286,1684,76.37%,581,607,1188
"District Judge, 177th Judicial District",0076,1015,427,1442,2441,59.07%,688,667,1355
"District Judge, 177th Judicial District",0077,2,5,7,17,41.18%,1,6,7
"District Judge, 177th Judicial District",0078,618,254,872,1608,54.23%,219,579,798
"District Judge, 177th Judicial District",0079,831,602,1433,2963,48.36%,244,1074,1318
"District Judge, 177th Judicial District",0080,1174,466,1640,2840,57.75%,351,1195,1546
"District Judge, 177th Judicial District",0081,776,273,1049,1964,53.41%,292,697,989
"District Judge, 177th Judicial District",0082,1585,756,2341,3539,66.15%,1665,578,2243
"District Judge, 177th Judicial District",0083,1829,540,2369,4174,56.76%,884,1387,2271
"District Judge, 177th Judicial District",0084,573,257,830,1421,58.41%,570,228,798
"District Judge, 177th Judicial District",0085,587,329,916,2169,42.23%,37,845,882
"District Judge, 177th Judicial District",0086,2032,493,2525,3449,73.21%,1198,1162,2360
"District Judge, 177th Judicial District",0087,1451,719,2170,2839,76.44%,1406,630,2036
"District Judge, 177th Judicial District",0088,338,141,479,784,61.10%,310,143,453
"District Judge, 177th Judicial District",0089,398,424,822,1094,75.14%,473,287,760
"District Judge, 177th Judicial District",0090,1856,890,2746,3883,70.72%,1997,623,2620
"District Judge, 177th Judicial District",0091,673,339,1012,1724,58.70%,557,386,943
"District Judge, 177th Judicial District",0092,1263,474,1737,2260,76.86%,1128,500,1628
"District Judge, 177th Judicial District",0093,1048,619,1667,3536,47.14%,485,1097,1582
"District Judge, 177th Judicial District",0094,202,63,265,580,45.69%,49,204,253
"District Judge, 177th Judicial District",0095,2022,534,2556,3394,75.31%,1652,774,2426
"District Judge, 177th Judicial District",0096,828,306,1134,2060,55.05%,162,920,1082
"District Judge, 177th Judicial District",0097,2511,467,2978,4414,67.47%,2184,649,2833
"District Judge, 177th Judicial District",0098,1385,594,1979,3161,62.61%,1605,297,1902
"District Judge, 177th Judicial District",0099,681,295,976,2192,44.53%,403,526,929
"District Judge, 177th Judicial District",0100,529,276,805,1825,44.11%,319,457,776
"District Judge, 177th Judicial District",0101,221,129,350,988,35.43%,85,251,336
"District Judge, 177th Judicial District",0102,580,227,807,1907,42.32%,204,557,761
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0103,2140,985,3125,5097,61.31%,1492,1519,3011
"District Judge, 177th Judicial District",0104,913,211,1124,1920,58.54%,29,1065,1094
"District Judge, 177th Judicial District",0105,709,433,1142,2304,49.57%,284,780,1064
"District Judge, 177th Judicial District",0106,73,59,132,299,44.15%,43,86,129
"District Judge, 177th Judicial District",0107,592,403,995,2230,44.62%,151,802,953
"District Judge, 177th Judicial District",0108,1461,448,1909,3674,51.96%,907,883,1790
"District Judge, 177th Judicial District",0109,1098,278,1376,2909,47.30%,31,1298,1329
"District Judge, 177th Judicial District",0110,1661,481,2142,3222,66.48%,1200,849,2049
"District Judge, 177th Judicial District",0111,2699,866,3565,4792,74.39%,2461,936,3397
"District Judge, 177th Judicial District",0112,1507,598,2105,3188,66.03%,1372,631,2003
"District Judge, 177th Judicial District",0113,1307,418,1725,2718,63.47%,884,770,1654
"District Judge, 177th Judicial District",0114,2290,506,2796,3885,71.97%,2004,672,2676
"District Judge, 177th Judicial District",0115,609,272,881,1843,47.80%,80,763,843
"District Judge, 177th Judicial District",0116,1898,599,2497,3194,78.18%,1880,507,2387
"District Judge, 177th Judicial District",0117,573,379,952,1900,50.11%,322,567,889
"District Judge, 177th Judicial District",0118,1823,530,2353,3181,73.97%,1214,1016,2230
"District Judge, 177th Judicial District",0119,2755,409,3164,4682,67.58%,2435,586,3021
"District Judge, 177th Judicial District",0120,1804,588,2392,3732,64.09%,1406,860,2266
"District Judge, 177th Judicial District",0121,354,221,575,966,59.52%,358,201,559
"District Judge, 177th Judicial District",0122,732,284,1016,1904,53.36%,50,926,976
"District Judge, 177th Judicial District",0123,749,287,1036,1585,65.36%,302,680,982
"District Judge, 177th Judicial District",0124,3136,888,4024,5393,74.62%,3129,770,3899
"District Judge, 177th Judicial District",0125,1207,400,1607,2593,61.97%,838,697,1535
"District Judge, 177th Judicial District",0126,2017,427,2444,3380,72.31%,2046,297,2343
"District Judge, 177th Judicial District",0127,978,214,1192,2091,57.01%,820,303,1123
"District Judge, 177th Judicial District",0128,1107,612,1719,2322,74.03%,1078,504,1582
"District Judge, 177th Judicial District",0129,2540,1052,3592,5172,69.45%,2102,1292,3394
"District Judge, 177th Judicial District",0130,1310,433,1743,2289,76.15%,1231,429,1660
"District Judge, 177th Judicial District",0131,798,371,1169,2147,54.45%,243,892,1135
"District Judge, 177th Judicial District",0132,1028,322,1350,2378,56.77%,42,1279,1321
"District Judge, 177th Judicial District",0133,1411,746,2157,2690,80.19%,1215,779,1994
"District Judge, 177th Judicial District",0134,593,345,938,1513,62.00%,359,520,879
"District Judge, 177th Judicial District",0135,1614,551,2165,2777,77.96%,1403,620,2023
"District Judge, 177th Judicial District",0136,982,352,1334,2116,63.04%,75,1202,1277
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0137,993,259,1252,1986,63.04%,818,377,1195
"District Judge, 177th Judicial District",0138,600,228,828,1723,48.06%,35,768,803
"District Judge, 177th Judicial District",0139,1939,601,2540,3435,73.94%,1190,1148,2338
"District Judge, 177th Judicial District",0140,1513,510,2023,3270,61.87%,319,1588,1907
"District Judge, 177th Judicial District",0141,217,153,370,904,40.93%,194,147,341
"District Judge, 177th Judicial District",0142,293,140,433,933,46.41%,82,315,397
"District Judge, 177th Judicial District",0143,1868,267,2135,2582,82.69%,1403,662,2065
"District Judge, 177th Judicial District",0144,442,125,567,1086,52.21%,18,529,547
"District Judge, 177th Judicial District",0145,560,256,816,1564,52.17%,14,777,791
"District Judge, 177th Judicial District",0146,1000,494,1494,2073,72.07%,645,755,1400
"District Judge, 177th Judicial District",0147,1411,354,1765,3211,54.97%,217,1487,1704
"District Judge, 177th Judicial District",0148,1265,652,1917,2571,74.56%,830,947,1777
"District Judge, 177th Judicial District",0149,2938,573,3511,4756,73.82%,1914,1458,3372
"District Judge, 177th Judicial District",0150,582,223,805,1574,51.14%,30,745,775
"District Judge, 177th Judicial District",0151,282,107,389,826,47.09%,16,355,371
"District Judge, 177th Judicial District",0152,838,524,1362,3059,44.52%,267,1012,1279
"District Judge, 177th Judicial District",0153,544,399,943,1873,50.35%,206,686,892
"District Judge, 177th Judicial District",0154,913,289,1202,2293,52.42%,242,870,1112
"District Judge, 177th Judicial District",0155,2275,576,2851,4065,70.14%,1776,928,2704
"District Judge, 177th Judicial District",0156,1413,403,1815,3223,56.35%,90,1649,1739
"District Judge, 177th Judicial District",0157,880,278,1158,2265,51.13%,62,1060,1122
"District Judge, 177th Judicial District",0158,1143,365,1508,3049,49.46%,43,1424,1467
"District Judge, 177th Judicial District",0159,348,147,495,997,49.65%,78,397,475
"District Judge, 177th Judicial District",0160,286,67,353,717,49.23%,15,323,338
"District Judge, 177th Judicial District",0161,378,173,551,992,55.54%,17,511,528
"District Judge, 177th Judicial District",0162,364,267,631,1312,48.09%,148,435,583
"District Judge, 177th Judicial District",0163,1080,524,1604,3075,52.16%,432,1002,1434
"District Judge, 177th Judicial District",0164,441,258,699,1407,49.68%,28,643,671
"District Judge, 177th Judicial District",0165,1169,469,1638,2460,66.59%,928,606,1534
"District Judge, 177th Judicial District",0166,562,261,823,1171,70.28%,273,494,767
"District Judge, 177th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 177th Judicial District",0168,196,59,255,512,49.80%,4,246,250
"District Judge, 177th Judicial District",0169,985,247,1232,2548,48.35%,35,1156,1191
"District Judge, 177th Judicial District",0170,553,262,925,1958,47.24%,401,460,861
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0171,482,283,765,1648,46.42%,39,687,726
"District Judge, 177th Judicial District",0172,245,103,348,661,52.65%,87,243,330
"District Judge, 177th Judicial District",0173,2259,683,2942,3966,74.18%,2168,638,2806
"District Judge, 177th Judicial District",0174,1718,707,2423,3389,71.50%,1603,672,2275
"District Judge, 177th Judicial District",0175,1402,691,2093,2711,77.20%,1084,849,1933
"District Judge, 177th Judicial District",0176,767,375,1142,1533,74.49%,573,475,1048
"District Judge, 177th Judicial District",0177,937,333,1270,1715,74.05%,698,476,1174
"District Judge, 177th Judicial District",0178,1116,273,1389,1795,77.38%,932,347,1279
"District Judge, 177th Judicial District",0179,771,244,1015,1673,60.67%,464,485,949
"District Judge, 177th Judicial District",0180,928,463,1391,2914,47.74%,53,1282,1335
"District Judge, 177th Judicial District",0181,697,439,1136,2195,51.75%,252,824,1076
"District Judge, 177th Judicial District",0182,1943,994,2937,4071,72.14%,1601,1098,2699
"District Judge, 177th Judicial District",0183,1286,715,2001,2535,78.93%,1291,561,1852
"District Judge, 177th Judicial District",0184,278,219,497,1048,47.42%,125,338,463
"District Judge, 177th Judicial District",0185,709,444,1153,2054,56.13%,299,784,1083
"District Judge, 177th Judicial District",0186,252,150,402,798,50.38%,35,351,386
"District Judge, 177th Judicial District",0187,96,51,147,309,47.57%,25,110,135
"District Judge, 177th Judicial District",0188,499,306,805,1711,47.05%,254,512,766
"District Judge, 177th Judicial District",0189,804,279,1083,1505,71.96%,613,403,1016
"District Judge, 177th Judicial District",0190,571,326,897,1849,48.51%,254,589,843
"District Judge, 177th Judicial District",0191,327,259,586,1408,41.62%,178,382,560
"District Judge, 177th Judicial District",0192,757,259,1016,1959,51.86%,57,915,972
"District Judge, 177th Judicial District",0193,375,211,586,1099,53.32%,20,542,562
"District Judge, 177th Judicial District",0194,1138,449,1587,2172,73.07%,470,1016,1486
"District Judge, 177th Judicial District",0195,606,344,950,1739,54.63%,49,853,902
"District Judge, 177th Judicial District",0196,132,37,169,313,53.99%,14,143,157
"District Judge, 177th Judicial District",0197,998,372,1368,2969,46.08%,35,1284,1319
"District Judge, 177th Judicial District",0198,161,82,243,619,39.26%,10,223,233
"District Judge, 177th Judicial District",0199,1929,815,2744,4063,67.54%,2049,578,2627
"District Judge, 177th Judicial District",0200,2307,377,2684,3692,72.70%,1255,1253,2508
"District Judge, 177th Judicial District",0201,221,105,326,773,42.17%,14,305,319
"District Judge, 177th Judicial District",0202,421,233,654,1410,46.38%,25,601,626
"District Judge, 177th Judicial District",0203,298,111,409,988,41.40%,64,316,380
"District Judge, 177th Judicial District",0204,2099,577,2676,3568,75.00%,1426,1038,2464
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0205,771,171,942,1724,54.64%,30,887,917
"District Judge, 177th Judicial District",0206,1277,494,1771,2965,59.73%,546,1093,1639
"District Judge, 177th Judicial District",0207,605,212,817,1166,70.07%,265,494,759
"District Judge, 177th Judicial District",0208,909,338,1247,2256,55.27%,281,880,1161
"District Judge, 177th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0210,1259,489,1748,2781,62.86%,288,1381,1669
"District Judge, 177th Judicial District",0211,964,595,1559,3130,49.81%,418,1036,1454
"District Judge, 177th Judicial District",0212,309,323,632,1370,46.13%,99,493,592
"District Judge, 177th Judicial District",0213,1782,795,2577,3406,75.66%,2011,435,2446
"District Judge, 177th Judicial District",0214,1016,418,1434,1911,75.04%,840,477,1317
"District Judge, 177th Judicial District",0215,1096,636,1732,2286,75.77%,1003,603,1606
"District Judge, 177th Judicial District",0216,778,244,1022,1966,51.98%,58,920,978
"District Judge, 177th Judicial District",0217,1545,618,2163,2736,79.06%,1404,627,2031
"District Judge, 177th Judicial District",0218,1099,457,1555,2467,63.07%,396,1035,1431
"District Judge, 177th Judicial District",0219,1117,515,1632,2868,56.90%,156,1394,1550
"District Judge, 177th Judicial District",0220,832,306,1138,2362,48.18%,708,363,1071
"District Judge, 177th Judicial District",0221,1032,473,1505,2598,57.93%,485,925,1410
"District Judge, 177th Judicial District",0222,1460,671,2131,2728,78.12%,1055,913,1968
"District Judge, 177th Judicial District",0223,1750,517,2267,3664,61.87%,606,1505,2111
"District Judge, 177th Judicial District",0224,1155,495,1551,2313,71.81%,772,774,1546
"District Judge, 177th Judicial District",0225,1353,596,1949,3689,52.83%,815,1042,1857
"District Judge, 177th Judicial District",0226,840,421,1261,2554,49.37%,243,962,1205
"District Judge, 177th Judicial District",0227,1071,359,1430,1810,79.01%,1065,285,1350
"District Judge, 177th Judicial District",0228,625,159,784,1175,66.72%,50,719,769
"District Judge, 177th Judicial District",0229,227,168,395,828,47.71%,108,262,370
"District Judge, 177th Judicial District",0230,353,155,518,1094,47.35%,25,477,502
"District Judge, 177th Judicial District",0231,801,445,1246,2376,52.44%,256,923,1179
"District Judge, 177th Judicial District",0232,941,438,1379,1826,75.52%,761,519,1280
"District Judge, 177th Judicial District",0233,2571,703,3274,4713,69.47%,1521,1512,3033
"District Judge, 177th Judicial District",0234,2419,728,3147,4042,77.86%,2313,656,2969
"District Judge, 177th Judicial District",0235,461,203,664,1421,46.73%,24,608,632
"District Judge, 177th Judicial District",0236,555,308,964,2104,45.82%,47,889,936
"District Judge, 177th Judicial District",0237,739,312,1051,2146,48.97%,28,992,1020
"District Judge, 177th Judicial District",0238,606,317,923,1948,47.38%,29,860,889
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0239,694,334,1028,1984,51.81,%,39,966,1005
"District Judge, 177th Judicial District",0240,1007,292,1299,2601,49.94%,35,1226,1261
"District Judge, 177th Judicial District",0241,651,383,1034,2466,41.93%,321,669,990
"District Judge, 177th Judicial District",0242,506,314,820,1744,47.02%,355,407,762
"District Judge, 177th Judicial District",0243,244,42,286,475,60.21%,6,276,282
"District Judge, 177th Judicial District",0244,1409,538,1947,3296,59.07%,913,942,1855
"District Judge, 177th Judicial District",0245,2100,811,2911,4679,62.21%,1781,973,2754
"District Judge, 177th Judicial District",0246,2209,482,2691,3971,67.77%,1663,923,2586
"District Judge, 177th Judicial District",0247,440,376,816,1595,51.16%,23,777,800
"District Judge, 177th Judicial District",0248,453,347,800,2147,37.26%,179,573,752
"District Judge, 177th Judicial District",0249,1124,365,1489,2825,52.71%,913,527,1440
"District Judge, 177th Judicial District",0250,288,183,471,925,50.92%,21,440,461
"District Judge, 177th Judicial District",0251,806,378,1184,2132,55.53%,62,1080,1142
"District Judge, 177th Judicial District",0252,925,309,1235,2292,53.88%,21,1181,1202
"District Judge, 177th Judicial District",0253,759,311,1070,2154,49.68%,31,1017,1048
"District Judge, 177th Judicial District",0254,411,280,691,1675,41.25%,143,506,649
"District Judge, 177th Judicial District",0255,1253,586,1839,2489,73.89%,825,877,1702
"District Judge, 177th Judicial District",0256,1398,583,1981,3321,59.65%,676,1185,1861
"District Judge, 177th Judicial District",0257,997,622,1619,3497,46.30%,352,1191,1543
"District Judge, 177th Judicial District",0258,1948,608,2556,3346,76.39%,1830,587,2417
"District Judge, 177th Judicial District",0259,1030,414,1444,2312,62.46%,37,1373,1410
"District Judge, 177th Judicial District",0260,547,227,774,1300,59.54%,374,353,727
"District Judge, 177th Judicial District",0261,442,531,973,1457,66.78%,266,647,913
"District Judge, 177th Judicial District",0262,1847,676,2523,4397,57.38%,1351,1026,2377
"District Judge, 177th Judicial District",0263,2208,665,2873,4016,71.54%,2020,715,2735
"District Judge, 177th Judicial District",0264,1110,627,1737,3101,56.01%,860,771,1631
"District Judge, 177th Judicial District",0265,1991,608,2599,3582,72.56%,1846,589,2435
"District Judge, 177th Judicial District",0266,737,443,1180,2147,54.96%,439,678,1117
"District Judge, 177th Judicial District",0267,421,293,714,1433,49.83%,256,418,674
"District Judge, 177th Judicial District",0268,1174,689,1863,2528,73.69%,1054,647,1701
"District Judge, 177th Judicial District",0269,1305,365,1670,2114,79.00%,1240,324,1564
"District Judge, 177th Judicial District",0270,1816,688,2504,3985,62.84%,1238,1099,2337
"District Judge, 177th Judicial District",0271,1150,346,1496,2558,58.48%,37,1427,1464
"District Judge, 177th Judicial District",0272,870,415,1285,2334,55.06%,451,759,1210
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0273,1175,647,1822,2485,73.32%,1410,336,1746
"District Judge, 177th Judicial District",0274,1261,311,1572,2223,70.72%,984,481,1465
"District Judge, 177th Judicial District",0275,585,334,919,2059,44.63%,154,729,883
"District Judge, 177th Judicial District",0276,1027,255,1282,2458,52.16%,22,1233,1255
"District Judge, 177th Judicial District",0277,573,338,911,1898,48.00%,309,563,872
"District Judge, 177th Judicial District",0278,1059,469,1528,2602,58.72%,636,804,1440
"District Judge, 177th Judicial District",0279,789,314,1103,2073,53.21%,610,441,1051
"District Judge, 177th Judicial District",0280,444,362,806,1656,48.67%,219,535,754
"District Judge, 177th Judicial District",0281,1287,590,1877,2507,74.87%,910,802,1712
"District Judge, 177th Judicial District",0282,773,604,1377,2144,64.23%,770,530,1300
"District Judge, 177th Judicial District",0283,2351,1143,3494,6365,54.89%,486,2876,3362
"District Judge, 177th Judicial District",0284,1585,574,2159,4079,52.93%,709,1336,2045
"District Judge, 177th Judicial District",0285,1077,431,1508,2680,56.27%,122,1336,1458
"District Judge, 177th Judicial District",0286,1708,545,2253,3757,59.97%,185,1995,2180
"District Judge, 177th Judicial District",0287,851,408,1259,1658,75.93%,616,561,1177
"District Judge, 177th Judicial District",0288,881,314,1195,2208,54.12%,26,1139,1165
"District Judge, 177th Judicial District",0289,481,352,833,1584,52.59%,301,474,775
"District Judge, 177th Judicial District",0290,705,332,1037,1623,63.89%,746,255,1001
"District Judge, 177th Judicial District",0291,603,233,836,1218,68.64%,359,428,787
"District Judge, 177th Judicial District",0292,549,178,727,1379,52.72%,85,617,702
"District Judge, 177th Judicial District",0293,778,475,1253,1811,69.19%,540,625,1165
"District Judge, 177th Judicial District",0294,852,198,1050,2054,51.12%,15,1018,1033
"District Judge, 177th Judicial District",0295,270,111,381,894,42.62%,9,362,371
"District Judge, 177th Judicial District",0296,701,385,1086,1705,63.70%,548,460,1008
"District Judge, 177th Judicial District",0297,729,341,1070,2055,52.07%,377,632,1009
"District Judge, 177th Judicial District",0298,1095,387,1482,2236,66.28%,743,667,1410
"District Judge, 177th Judicial District",0299,499,236,735,1506,48.80%,230,456,686
"District Judge, 177th Judicial District",0300,3385,728,4113,5480,75.05%,3057,867,3924
"District Judge, 177th Judicial District",0301,737,392,1129,2337,48.31%,381,685,1066
"District Judge, 177th Judicial District",0302,1197,591,1788,3277,54.56%,876,828,1704
"District Judge, 177th Judicial District",0303,1896,692,2588,3375,76.68%,1972,492,2464
"District Judge, 177th Judicial District",0304,1190,474,1664,2326,71.54%,931,613,1544
"District Judge, 177th Judicial District",0305,2154,645,2799,4838,57.85%,885,1790,2675
"District Judge, 177th Judicial District",0306,1096,299,1395,1896,73.58%,983,326,1309
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Robert Johnson,Totals
"District Judge, 177th Judicial District",0307,1456,801,2257,3270,69.02%,1491,630,2121
"District Judge, 177th Judicial District",0308,526,225,751,1457,51.54%,191,511,702
"District Judge, 177th Judicial District",0309,2160,591,2751,3495,78.71%,2109,515,2624
"District Judge, 177th Judicial District",0310,709,326,1035,1464,70.70%,616,348,964
"District Judge, 177th Judicial District",0311,930,643,1573,3222,48.82%,716,742,1458
"District Judge, 177th Judicial District",0312,1705,552,2257,3724,60.61%,1170,969,2139
"District Judge, 177th Judicial District",0313,23,8,31,61,50.82%,17,8,25
"District Judge, 177th Judicial District",0314,2997,817,3814,5606,68.03%,2127,1543,3670
"District Judge, 177th Judicial District",0315,801,353,1154,1636,70.54%,657,422,1079
"District Judge, 177th Judicial District",0316,739,340,1079,1513,71.32%,594,406,1000
"District Judge, 177th Judicial District",0317,593,252,845,1661,50.87%,221,575,796
"District Judge, 177th Judicial District",0318,1726,529,2255,3776,59.72%,133,2048,2181
"District Judge, 177th Judicial District",0319,994,271,1265,2199,57.53%,72,1155,1227
"District Judge, 177th Judicial District",0320,554,238,792,1570,50.45%,278,465,743
"District Judge, 177th Judicial District",0321,867,363,1230,2483,49.54%,335,794,1129
"District Judge, 177th Judicial District",0322,426,124,550,1210,45.45%,160,373,533
"District Judge, 177th Judicial District",0323,700,296,996,1793,55.55%,373,572,945
"District Judge, 177th Judicial District",0324,1444,560,2004,2607,76.87%,1247,635,1882
"District Judge, 177th Judicial District",0325,802,257,1059,2176,48.67%,191,801,992
"District Judge, 177th Judicial District",0326,271,129,400,736,54.35%,142,224,366
"District Judge, 177th Judicial District",0327,738,141,879,1758,50.00%,25,820,845
