Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0065,638,435,1073,2178,49.27%,144,878,1022
"District Judge, 507th Judicial District",0066,247,255,502,1135,44.23%,73,394,467
"District Judge, 507th Judicial District",0067,942,521,1463,3019,48.46%,237,1119,1356
"District Judge, 507th Judicial District",0068,1171,430,1601,3096,51.71%,42,1489,1531
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0069,375,222,597,1309,45.61%,79,470,549
"District Judge, 507th Judicial District",0070,2288,670,2958,3815,77.54%,1694,1072,2766
"District Judge, 507th Judicial District",0071,2703,947,3650,5016,72.77%,1768,1625,3393
"District Judge, 507th Judicial District",0072,736,418,1154,2029,56.88%,246,840,1086
"District Judge, 507th Judicial District",0073,813,282,1095,1621,67.55%,540,473,1013
"District Judge, 507th Judicial District",0074,2503,268,2771,3578,77.45%,2048,592,2640
"District Judge, 507th Judicial District",0075,1000,286,1286,1684,76.37%,562,624,1186
"District Judge, 507th Judicial District",0076,1015,427,1442,2441,59.07%,658,705,1363
"District Judge, 507th Judicial District",0077,2,5,7,17,41.18%,1,6,7
"District Judge, 507th Judicial District",0078,618,254,872,1608,54.23%,179,621,800
"District Judge, 507th Judicial District",0079,831,602,1433,2963,48.36%,207,1121,1328
"District Judge, 507th Judicial District",0080,1174,466,1640,2840,57.75%,321,1223,1544
"District Judge, 507th Judicial District",0081,776,273,1049,1964,53.41%,269,716,985
"District Judge, 507th Judicial District",0082,1585,756,2341,3539,66.15%,1639,597,2236
"District Judge, 507th Judicial District",0083,1829,540,2369,4174,56.76%,850,1420,2270
"District Judge, 507th Judicial District",0084,573,257,830,1421,58.41%,564,237,801
"District Judge, 507th Judicial District",0085,587,329,916,2169,42.23%,42,832,874
"District Judge, 507th Judicial District",0086,2032,493,2525,3449,73.21%,1154,1196,2350
"District Judge, 507th Judicial District",0087,1451,719,2170,2839,76.44%,1378,646,2024
"District Judge, 507th Judicial District",0088,338,141,479,784,61.10%,301,150,451
"District Judge, 507th Judicial District",0089,398,424,822,1094,75.14%,458,289,747
"District Judge, 507th Judicial District",0090,1856,890,2746,3883,70.72%,1980,632,2612
"District Judge, 507th Judicial District",0091,673,339,1012,1724,58.70%,552,389,941
"District Judge, 507th Judicial District",0092,1263,474,1737,2260,76.86%,1112,521,1633
"District Judge, 507th Judicial District",0093,1048,619,1667,3536,47.14%,442,1139,1581
"District Judge, 507th Judicial District",0094,202,83,285,580,45.69%,40,213,253
"District Judge, 507th Judicial District",0095,2022,534,2556,3394,75.31%,1627,794,2421
"District Judge, 507th Judicial District",0096,828,306,1134,2060,55.05%,147,937,1084
"District Judge, 507th Judicial District",0097,2511,467,2978,4414,67.47%,2160,667,2827
"District Judge, 507th Judicial District",0098,1385,594,1979,3161,62.61%,1592,302,1894
"District Judge, 507th Judicial District",0099,681,295,976,2192,44.53%,388,540,928
"District Judge, 507th Judicial District",0100,529,276,805,1825,44.11%,312,460,772
"District Judge, 507th Judicial District",0101,221,129,350,988,35.43%,81,254,335
"District Judge, 507th Judicial District",0102,580,227,807,1907,42.32%,193,576,769
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0103,2140,985,3125,5097,61.31%,1451,1563,3014
"District Judge, 507th Judicial District",0104,913,211,1124,1920,58.54%,22,1066,1088
"District Judge, 507th Judicial District",0105,709,433,1142,2304,49.57%,242,823,1065
"District Judge, 507th Judicial District",0106,73,59,132,299,44.15%,41,88,129
"District Judge, 507th Judicial District",0107,592,403,995,2230,44.62%,135,815,950
"District Judge, 507th Judicial District",0108,1461,448,1909,3674,51.96%,873,914,1787
"District Judge, 507th Judicial District",0109,1098,278,1376,2909,47.30%,36,1291,1327
"District Judge, 507th Judicial District",0110,1661,481,2142,3222,66.48%,1189,856,2045
"District Judge, 507th Judicial District",0111,2699,866,3565,4792,74.39%,2426,967,3393
"District Judge, 507th Judicial District",0112,1507,598,2105,3188,66.03%,1342,663,2005
"District Judge, 507th Judicial District",0113,1307,418,1725,2718,63.47%,870,788,1658
"District Judge, 507th Judicial District",0114,2290,506,2796,3885,71.97%,1972,698,2670
"District Judge, 507th Judicial District",0115,609,272,881,1843,47.80%,74,769,843
"District Judge, 507th Judicial District",0116,1898,599,2497,3194,78.18%,1855,515,2370
"District Judge, 507th Judicial District",0117,573,379,952,1900,50.11%,295,595,890
"District Judge, 507th Judicial District",0118,1823,530,2353,3181,73.97%,1208,1015,2223
"District Judge, 507th Judicial District",0119,2755,409,3164,4682,67.58%,2417,597,3014
"District Judge, 507th Judicial District",0120,1804,588,2392,3732,64.09%,1368,894,2262
"District Judge, 507th Judicial District",0121,354,221,575,966,59.52%,350,208,558
"District Judge, 507th Judicial District",0122,732,284,1016,1904,53.36%,53,920,973
"District Judge, 507th Judicial District",0123,749,287,1036,1585,65.36%,289,687,976
"District Judge, 507th Judicial District",0124,3136,888,4024,5393,74.62%,3108,777,3885
"District Judge, 507th Judicial District",0125,1207,400,1607,2593,61.97%,819,718,1537
"District Judge, 507th Judicial District",0126,2017,427,2444,3380,72.31%,2034,302,2336
"District Judge, 507th Judicial District",0127,978,214,1192,2091,57.01%,810,311,1121
"District Judge, 507th Judicial District",0128,1107,612,1719,2322,74.03%,1058,512,1570
"District Judge, 507th Judicial District",0129,2540,1052,3592,5172,69.45%,2060,1325,3385
"District Judge, 507th Judicial District",0130,1310,433,1743,2289,76.15%,1226,427,1653
"District Judge, 507th Judicial District",0131,798,371,1169,2147,54.45%,234,900,1134
"District Judge, 507th Judicial District",0132,1028,322,1350,2378,56.77%,46,1274,1320
"District Judge, 507th Judicial District",0133,1411,746,2157,2690,80.19%,1200,791,1991
"District Judge, 507th Judicial District",0134,593,345,938,1513,62.00%,336,558,894
"District Judge, 507th Judicial District",0135,1614,551,2165,2777,77.96%,1383,636,2019
"District Judge, 507th Judicial District",0136,982,352,1334,2116,63.04%,74,1202,1276
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0137,993,259,1252,1986,63.04%,805,389,1194
"District Judge, 507th Judicial District",0138,600,228,828,1723,48.06%,31,771,802
"District Judge, 507th Judicial District",0139,1939,601,2540,3435,73.94%,1177,1158,2335
"District Judge, 507th Judicial District",0140,1513,510,2023,3270,61.87%,319,1586,1905
"District Judge, 507th Judicial District",0141,217,153,370,904,40.93%,185,155,340
"District Judge, 507th Judicial District",0142,293,140,433,933,46.41%,76,327,403
"District Judge, 507th Judicial District",0143,1868,267,2135,2582,82.69%,1376,683,2059
"District Judge, 507th Judicial District",0144,442,125,567,1086,52.21%,20,524,544
"District Judge, 507th Judicial District",0145,560,256,816,1564,52.17%,17,770,787
"District Judge, 507th Judicial District",0146,1000,494,1494,2073,72.07%,654,752,1406
"District Judge, 507th Judicial District",0147,1411,354,1765,3211,54.97%,211,1494,1705
"District Judge, 507th Judicial District",0148,1265,652,1917,2571,74.56%,809,952,1761
"District Judge, 507th Judicial District",0149,2938,573,3511,4756,73.82%,1878,1497,3375
"District Judge, 507th Judicial District",0150,582,223,805,1574,51.14%,26,747,773
"District Judge, 507th Judicial District",0151,282,107,389,826,47.09%,17,354,371
"District Judge, 507th Judicial District",0152,838,524,1362,3059,44.52%,242,1045,1287
"District Judge, 507th Judicial District",0153,544,399,943,1873,50.35%,191,707,898
"District Judge, 507th Judicial District",0154,913,289,1202,2293,52.42%,212,910,1122
"District Judge, 507th Judicial District",0155,2275,576,2851,4065,70.14%,1731,968,2699
"District Judge, 507th Judicial District",0156,1413,403,1816,3223,56.35%,90,1646,1736
"District Judge, 507th Judicial District",0157,880,278,1158,2265,51.13%,58,1061,1119
"District Judge, 507th Judicial District",0158,1143,365,1508,3049,49.46%,38,1426,1464
"District Judge, 507th Judicial District",0159,348,147,495,997,49.65%,72,405,477
"District Judge, 507th Judicial District",0160,286,67,353,717,49.23%,12,325,337
"District Judge, 507th Judicial District",0161,378,173,551,992,55.54%,21,508,529
"District Judge, 507th Judicial District",0162,364,267,631,1312,48.09%,135,450,585
"District Judge, 507th Judicial District",0163,1080,524,1604,3075,52.16%,398,1047,1445
"District Judge, 507th Judicial District",0164,441,258,699,1407,49.68%,21,651,672
"District Judge, 507th Judicial District",0165,1169,469,1638,2460,66.59%,901,627,1528
"District Judge, 507th Judicial District",0166,562,261,823,1171,70.28%,273,491,764
"District Judge, 507th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 507th Judicial District",0168,196,59,255,512,49.80%,3,247,250
"District Judge, 507th Judicial District",0169,985,247,1232,2548,48.35%,43,1149,1192
"District Judge, 507th Judicial District",0170,663,262,925,1958,47.24%,388,472,860
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0171,482,283,765,1648,46.42%,38,688,726
"District Judge, 507th Judicial District",0172,245,103,348,661,52.65%,76,252,328
"District Judge, 507th Judicial District",0173,2259,683,2942,3966,74.18%,2131,666,2797
"District Judge, 507th Judicial District",0174,1715,707,2423,3389,71.50%,1582,685,2267
"District Judge, 507th Judicial District",0175,1402,691,2093,2711,77.20%,1060,872,1932
"District Judge, 507th Judicial District",0176,767,375,1142,1533,74.49%,582,466,1048
"District Judge, 507th Judicial District",0177,937,333,1270,1715,74.05%,672,503,1175
"District Judge, 507th Judicial District",0178,1116,273,1389,1795,77.38%,897,385,1282
"District Judge, 507th Judicial District",0179,771,244,1015,1673,60.67%,451,493,944
"District Judge, 507th Judicial District",0180,928,463,1391,2914,47.74%,52,1282,1334
"District Judge, 507th Judicial District",0181,697,439,1136,2195,51.75%,236,842,1078
"District Judge, 507th Judicial District",0182,1943,994,2937,4071,72.14%,1572,1123,2695
"District Judge, 507th Judicial District",0183,1286,715,2001,2535,78.93%,1264,588,1852
"District Judge, 507th Judicial District",0184,278,219,497,1048,47.42%,123,343,466
"District Judge, 507th Judicial District",0185,709,444,1153,2054,56.13%,267,820,1087
"District Judge, 507th Judicial District",0186,252,150,402,798,50.38%,29,360,389
"District Judge, 507th Judicial District",0187,95,51,147,309,47.57%,17,120,137
"District Judge, 507th Judicial District",0188,499,306,805,1711,47.05%,226,540,766
"District Judge, 507th Judicial District",0189,804,279,1083,1505,71.96%,591,419,1010
"District Judge, 507th Judicial District",0190,571,326,897,1849,48.51%,237,610,847
"District Judge, 507th Judicial District",0191,327,259,586,1408,41.62%,166,392,558
"District Judge, 507th Judicial District",0192,757,259,1016,1959,51.86%,60,914,974
"District Judge, 507th Judicial District",0193,375,211,586,1099,53.32%,19,542,561
"District Judge, 507th Judicial District",0194,1138,449,1587,2172,73.07%,454,1028,1482
"District Judge, 507th Judicial District",0195,606,344,950,1739,54.63%,43,859,902
"District Judge, 507th Judicial District",0196,132,37,169,313,53.99%,13,144,157
"District Judge, 507th Judicial District",0197,995,372,1368,2969,46.08%,43,1275,1318
"District Judge, 507th Judicial District",0198,161,82,243,619,39.26%,10,223,233
"District Judge, 507th Judicial District",0199,1929,815,2744,4063,67.54%,2022,593,2615
"District Judge, 507th Judicial District",0200,2307,377,2684,3692,72.70%,1234,1276,2510
"District Judge, 507th Judicial District",0201,221,105,326,773,42.17%,11,308,319
"District Judge, 507th Judicial District",0202,421,233,654,1410,46.38%,22,603,625
"District Judge, 507th Judicial District",0203,298,111,409,988,41.40%,56,328,384
"District Judge, 507th Judicial District",0204,2099,577,2676,3568,75.00%,1381,1072,2453
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0205,771,171,942,1724,54.64%,26,894,920
"District Judge, 507th Judicial District",0206,1277,494,1771,2965,59.73%,503,1133,1636
"District Judge, 507th Judicial District",0207,605,212,817,1166,70.07%,237,526,763
"District Judge, 507th Judicial District",0208,909,338,1247,2256,55.27%,266,898,1164
"District Judge, 507th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 507th Judicial District",0210,1259,489,1748,2781,62.86%,273,1394,1667
"District Judge, 507th Judicial District",0211,964,595,1559,3130,49.81%,382,1076,1458
"District Judge, 507th Judicial District",0212,309,323,632,1370,46.13%,93,498,591
"District Judge, 507th Judicial District",0213,1782,795,2577,3406,75.66%,1983,470,2453
"District Judge, 507th Judicial District",0214,1016,418,1434,1911,75.04%,824,498,1322
"District Judge, 507th Judicial District",0215,1096,636,1732,2286,75.77%,988,619,1607
"District Judge, 507th Judicial District",0216,778,244,1022,1966,51.98%,54,927,981
"District Judge, 507th Judicial District",0217,1545,618,2163,2736,79.06%,1370,665,2035
"District Judge, 507th Judicial District",0218,1099,457,1555,2467,63.07%,368,1062,1430
"District Judge, 507th Judicial District",0219,1117,515,1632,2868,56.90%,149,1387,1536
"District Judge, 507th Judicial District",0220,832,306,1138,2362,48.18%,689,378,1067
"District Judge, 507th Judicial District",0221,1032,473,1505,2598,57.93%,438,972,1410
"District Judge, 507th Judicial District",0222,1460,671,2131,2728,78.12%,1040,915,1955
"District Judge, 507th Judicial District",0223,1750,517,2267,3664,61.87%,579,1523,2102
"District Judge, 507th Judicial District",0224,1155,495,1551,2313,71.81%,772,767,1539
"District Judge, 507th Judicial District",0225,1353,596,1949,3689,52.83%,783,1072,1855
"District Judge, 507th Judicial District",0226,840,421,1261,2554,49.37%,211,995,1206
"District Judge, 507th Judicial District",0227,1071,359,1430,1810,79.01%,1059,288,1347
"District Judge, 507th Judicial District",0228,625,159,784,1175,66.72%,49,720,769
"District Judge, 507th Judicial District",0229,227,168,395,828,47.71%,97,273,370
"District Judge, 507th Judicial District",0230,353,165,518,1094,47.35%,23,481,504
"District Judge, 507th Judicial District",0231,801,445,1246,2376,52.44%,227,963,1190
"District Judge, 507th Judicial District",0232,941,438,1379,1826,75.52%,733,554,1287
"District Judge, 507th Judicial District",0233,2571,703,3274,4713,69.47%,1495,1537,3032
"District Judge, 507th Judicial District",0234,2419,728,3147,4042,77.86%,2283,677,2960
"District Judge, 507th Judicial District",0235,461,203,664,1421,46.73%,24,608,632
"District Judge, 507th Judicial District",0236,555,308,964,2104,45.82%,47,887,934
"District Judge, 507th Judicial District",0237,739,312,1051,2146,48.97%,27,990,1017
"District Judge, 507th Judicial District",0238,606,317,923,1948,47.38%,27,856,883
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0239,694,334,1028,1984,51.81,%,38,967,1005
"District Judge, 507th Judicial District",0240,1007,292,1299,2601,49.94%,33,1231,1264
"District Judge, 507th Judicial District",0241,651,383,1034,2466,41.93%,305,685,990
"District Judge, 507th Judicial District",0242,506,314,820,1744,47.02%,337,427,764
"District Judge, 507th Judicial District",0243,244,42,286,475,60.21%,7,275,282
"District Judge, 507th Judicial District",0244,1409,538,1947,3296,59.07%,883,968,1851
"District Judge, 507th Judicial District",0245,2100,811,2911,4679,62.21%,1772,978,2750
"District Judge, 507th Judicial District",0246,2209,482,2691,3971,67.77%,1612,964,2576
"District Judge, 507th Judicial District",0247,440,376,816,1595,51.16%,25,771,796
"District Judge, 507th Judicial District",0248,453,347,800,2147,37.26%,162,593,755
"District Judge, 507th Judicial District",0249,1124,365,1489,2825,52.71%,905,532,1437
"District Judge, 507th Judicial District",0250,288,183,471,925,50.92%,20,440,460
"District Judge, 507th Judicial District",0251,806,378,1184,2132,55.53%,64,1073,1137
"District Judge, 507th Judicial District",0252,925,309,1235,2292,53.88%,26,1174,1200
"District Judge, 507th Judicial District",0253,759,311,1070,2154,49.68%,37,1010,1047
"District Judge, 507th Judicial District",0254,411,280,691,1675,41.25%,128,523,651
"District Judge, 507th Judicial District",0255,1253,586,1839,2489,73.89%,818,885,1703
"District Judge, 507th Judicial District",0256,1398,583,1981,3321,59.65%,621,1232,1853
"District Judge, 507th Judicial District",0257,997,622,1619,3497,46.30%,343,1210,1553
"District Judge, 507th Judicial District",0258,1948,608,2555,3346,76.39%,1823,581,2404
"District Judge, 507th Judicial District",0259,1030,414,1444,2312,62.46%,34,1368,1402
"District Judge, 507th Judicial District",0260,547,227,774,1300,59.54%,370,360,730
"District Judge, 507th Judicial District",0261,442,531,973,1457,66.78%,240,674,914
"District Judge, 507th Judicial District",0262,1847,676,2523,4397,57.38%,1319,1050,2369
"District Judge, 507th Judicial District",0263,2208,665,2873,4016,71.54%,1999,738,2737
"District Judge, 507th Judicial District",0264,1110,627,1737,3101,56.01%,852,783,1635
"District Judge, 507th Judicial District",0265,1991,608,2599,3582,72.56%,1829,605,2434
"District Judge, 507th Judicial District",0266,737,443,1180,2147,54.96%,416,700,1116
"District Judge, 507th Judicial District",0267,421,293,714,1433,49.83%,242,430,672
"District Judge, 507th Judicial District",0268,1174,689,1863,2528,73.69%,1065,645,1710
"District Judge, 507th Judicial District",0269,1305,365,1670,2114,79.00%,1233,328,1561
"District Judge, 507th Judicial District",0270,1816,688,2504,3985,62.84%,1170,1165,2335
"District Judge, 507th Judicial District",0271,1150,346,1496,2558,58.48%,38,1426,1464
"District Judge, 507th Judicial District",0272,870,415,1285,2334,55.06%,435,780,1215
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0273,1175,647,1822,2485,73.32%,1391,345,1736
"District Judge, 507th Judicial District",0274,1261,311,1572,2223,70.72%,967,493,1460
"District Judge, 507th Judicial District",0275,585,334,919,2059,44.63%,147,736,883
"District Judge, 507th Judicial District",0276,1027,255,1282,2458,52.16%,19,1231,1250
"District Judge, 507th Judicial District",0277,573,338,911,1898,48.00%,303,568,871
"District Judge, 507th Judicial District",0278,1059,469,1528,2602,58.72%,605,836,1441
"District Judge, 507th Judicial District",0279,789,314,1103,2073,53.21%,590,460,1050
"District Judge, 507th Judicial District",0280,444,362,806,1656,48.67%,199,558,757
"District Judge, 507th Judicial District",0281,1287,590,1877,2507,74.87%,955,767,1722
"District Judge, 507th Judicial District",0282,773,604,1377,2144,64.23%,763,540,1303
"District Judge, 507th Judicial District",0283,2351,1143,3494,6365,54.89%,460,2899,3359
"District Judge, 507th Judicial District",0284,1585,574,2159,4079,52.93%,692,1353,2045
"District Judge, 507th Judicial District",0285,1077,431,1508,2680,56.27%,103,1350,1453
"District Judge, 507th Judicial District",0286,1708,545,2253,3757,59.97%,170,2002,2172
"District Judge, 507th Judicial District",0287,851,408,1259,1658,75.93%,611,569,1180
"District Judge, 507th Judicial District",0288,881,314,1195,2208,54.12%,30,1133,1163
"District Judge, 507th Judicial District",0289,481,352,833,1584,52.59%,283,495,778
"District Judge, 507th Judicial District",0290,705,332,1037,1623,63.89%,730,265,995
"District Judge, 507th Judicial District",0291,603,233,836,1218,68.64%,356,432,788
"District Judge, 507th Judicial District",0292,549,178,727,1379,52.72%,76,622,698
"District Judge, 507th Judicial District",0293,778,475,1253,1811,69.19%,516,648,1164
"District Judge, 507th Judicial District",0294,852,198,1050,2054,51.12%,14,1014,1028
"District Judge, 507th Judicial District",0295,270,111,381,894,42.62%,10,361,371
"District Judge, 507th Judicial District",0296,701,385,1086,1705,63.70%,533,473,1006
"District Judge, 507th Judicial District",0297,729,341,1070,2055,52.07%,360,649,1009
"District Judge, 507th Judicial District",0298,1095,387,1482,2236,66.28%,722,682,1404
"District Judge, 507th Judicial District",0299,499,236,735,1506,48.80%,216,472,688
"District Judge, 507th Judicial District",0300,3385,728,4113,5480,75.05%,3028,891,3919
"District Judge, 507th Judicial District",0301,737,392,1129,2337,48.31%,354,710,1064
"District Judge, 507th Judicial District",0302,1197,591,1788,3277,54.56%,860,849,1709
"District Judge, 507th Judicial District",0303,1896,692,2588,3375,76.68%,1961,501,2462
"District Judge, 507th Judicial District",0304,1190,474,1664,2326,71.54%,916,620,1536
"District Judge, 507th Judicial District",0305,2154,645,2799,4838,57.85%,852,1827,2679
"District Judge, 507th Judicial District",0306,1096,299,1395,1896,73.58%,963,338,1301
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alyssa Lemkuil,DEM Julia Maldonado,Totals
"District Judge, 507th Judicial District",0307,1456,801,2257,3270,69.02%,1468,648,2116
"District Judge, 507th Judicial District",0308,526,225,751,1457,51.54%,158,539,697
"District Judge, 507th Judicial District",0309,2160,591,2751,3495,78.71%,2090,508,2598
"District Judge, 507th Judicial District",0310,709,326,1035,1464,70.70%,609,355,964
"District Judge, 507th Judicial District",0311,930,643,1573,3222,48.82%,695,758,1453
"District Judge, 507th Judicial District",0312,1705,552,2257,3724,60.61%,1148,980,2128
"District Judge, 507th Judicial District",0313,23,8,31,61,50.82%,15,8,23
"District Judge, 507th Judicial District",0314,2997,817,3814,5606,68.03%,2107,1561,3668
"District Judge, 507th Judicial District",0315,801,353,1154,1636,70.54%,653,427,1080
"District Judge, 507th Judicial District",0316,739,340,1079,1513,71.32%,584,413,997
"District Judge, 507th Judicial District",0317,593,252,845,1661,50.87%,217,579,796
"District Judge, 507th Judicial District",0318,1726,529,2255,3776,59.72%,124,2054,2178
"District Judge, 507th Judicial District",0319,994,271,1265,2199,57.53%,68,1158,1226
"District Judge, 507th Judicial District",0320,554,238,792,1570,50.45%,264,482,746
"District Judge, 507th Judicial District",0321,867,363,1230,2483,49.54%,297,832,1129
"District Judge, 507th Judicial District",0322,426,124,550,1210,45.45%,156,378,534
"District Judge, 507th Judicial District",0323,700,296,996,1793,55.55%,365,579,944
"District Judge, 507th Judicial District",0324,1444,560,2004,2607,76.87%,1202,666,1868
"District Judge, 507th Judicial District",0325,802,257,1059,2176,48.67%,169,827,996
"District Judge, 507th Judicial District",0326,271,129,400,736,54.35%,133,236,369
