Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0060,1473,537,2010,2766,72.67%,597,1260,1857
"District Judge, 176th Judicial District",0061,519,423,942,1847,51.00%,248,628,876
"District Judge, 176th Judicial District",0062,689,452,1141,2195,51.98%,218,836,1054
"District Judge, 176th Judicial District",0063,767,391,1158,1903,60.85%,904,203,1107
"District Judge, 176th Judicial District",0064,678,368,1046,2220,47.12%,204,764,968
"District Judge, 176th Judicial District",0065,638,435,1073,2178,49.27%,181,825,1006
"District Judge, 176th Judicial District",0066,247,255,502,1135,44.23%,82,384,466
"District Judge, 176th Judicial District",0067,942,521,1463,3019,48.46%,293,1052,1345
"District Judge, 176th Judicial District",0068,1171,430,1601,3096,51.71%,42,1508,1550
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0069,375,222,597,1309,45.61%,89,451,540
"District Judge, 176th Judicial District",0070,2288,670,2958,3815,77.54%,1724,1050,2774
"District Judge, 176th Judicial District",0071,2703,947,3650,5016,72.77%,1808,1602,3410
"District Judge, 176th Judicial District",0072,735,418,1154,2029,56.88%,294,780,1074
"District Judge, 176th Judicial District",0073,813,282,1095,1621,67.55%,570,445,1015
"District Judge, 176th Judicial District",0074,2503,268,2771,3578,77.45%,2062,572,2634
"District Judge, 176th Judicial District",0075,1000,286,1286,1684,76.37%,582,601,1183
"District Judge, 176th Judicial District",0076,1015,427,1442,2441,59.07%,690,670,1360
"District Judge, 176th Judicial District",0077,2,5,7,17,41.18%,2,5,7
"District Judge, 176th Judicial District",0078,518,254,872,1608,54.23%,227,568,795
"District Judge, 176th Judicial District",0079,831,602,1433,2963,48.36%,249,1059,1308
"District Judge, 176th Judicial District",0080,1174,466,1640,2840,57.75%,364,1182,1546
"District Judge, 176th Judicial District",0081,776,273,1049,1964,53.41%,309,679,988
"District Judge, 176th Judicial District",0082,1585,755,2341,3539,66.15%,1654,584,2238
"District Judge, 176th Judicial District",0083,1529,540,2369,4174,56.76%,881,1398,2279
"District Judge, 176th Judicial District",0084,573,257,830,1421,58.41%,574,224,798
"District Judge, 176th Judicial District",0085,587,329,916,2169,42.23%,41,846,887
"District Judge, 176th Judicial District",0086,2032,493,2525,3449,73.21%,1217,1145,2362
"District Judge, 176th Judicial District",0087,1451,719,2170,2839,76.44%,1412,620,2032
"District Judge, 176th Judicial District",0088,338,141,479,784,61.10%,308,145,453
"District Judge, 176th Judicial District",0089,395,424,822,1094,75.14%,484,272,756
"District Judge, 176th Judicial District",0090,1856,890,2746,3883,70.72%,2001,618,2619
"District Judge, 176th Judicial District",0091,673,339,1012,1724,58.70%,550,394,944
"District Judge, 176th Judicial District",0092,1253,474,1737,2260,76.86%,1132,502,1634
"District Judge, 176th Judicial District",0093,1048,619,1667,3536,47.14%,477,1105,1582
"District Judge, 176th Judicial District",0094,202,53,255,580,45.69%,49,202,251
"District Judge, 176th Judicial District",0095,2022,534,2556,3394,75.31%,1643,774,2417
"District Judge, 176th Judicial District",0096,828,306,1134,2060,55.05%,154,927,1081
"District Judge, 176th Judicial District",0097,2511,467,2978,4414,67.47%,2196,638,2834
"District Judge, 176th Judicial District",0098,1385,594,1979,3161,62.61%,1600,297,1897
"District Judge, 176th Judicial District",0099,581,295,976,2192,44.53%,404,525,929
"District Judge, 176th Judicial District",0100,529,276,805,1825,44.11%,321,451,772
"District Judge, 176th Judicial District",0101,221,129,350,988,35.43%,83,253,336
"District Judge, 176th Judicial District",0102,580,227,807,1907,42.32%,200,562,762
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0103,2140,985,3125,5097,61.31%,1476,1534,3010
"District Judge, 176th Judicial District",0104,913,211,1124,1920,58.54%,28,1068,1096
"District Judge, 176th Judicial District",0105,709,433,1142,2304,49.57%,287,772,1059
"District Judge, 176th Judicial District",0106,73,59,132,299,44.15%,41,88,129
"District Judge, 176th Judicial District",0107,592,403,995,2230,44.62%,156,798,954
"District Judge, 176th Judicial District",0108,1461,448,1909,3674,51.96%,889,896,1785
"District Judge, 176th Judicial District",0109,1098,278,1376,2909,47.30%,34,1295,1329
"District Judge, 176th Judicial District",0110,1661,481,2142,3222,66.48%,1208,844,2052
"District Judge, 176th Judicial District",0111,2699,866,3565,4792,74.39%,2450,948,3398
"District Judge, 176th Judicial District",0112,1507,598,2105,3188,66.03%,1372,631,2003
"District Judge, 176th Judicial District",0113,1307,418,1725,2718,63.47%,882,774,1656
"District Judge, 176th Judicial District",0114,2290,506,2796,3885,71.97%,1992,683,2675
"District Judge, 176th Judicial District",0115,609,272,881,1843,47.80%,77,768,845
"District Judge, 176th Judicial District",0116,1898,599,2497,3194,78.18%,1905,477,2382
"District Judge, 176th Judicial District",0117,573,379,952,1900,50.11%,322,569,891
"District Judge, 176th Judicial District",0118,1823,530,2353,3181,73.97%,1230,1005,2235
"District Judge, 176th Judicial District",0119,2755,409,3164,4682,67.58%,2434,582,3016
"District Judge, 176th Judicial District",0120,1804,588,2392,3732,64.09%,1398,864,2262
"District Judge, 176th Judicial District",0121,354,221,575,966,59.52%,355,203,558
"District Judge, 176th Judicial District",0122,732,284,1016,1904,53.36%,53,926,979
"District Judge, 176th Judicial District",0123,749,287,1036,1585,65.36%,317,656,973
"District Judge, 176th Judicial District",0124,3136,888,4024,5393,74.62%,3122,772,3894
"District Judge, 176th Judicial District",0125,1207,400,1607,2593,61.97%,844,692,1536
"District Judge, 176th Judicial District",0126,2017,427,2444,3380,72.31%,2044,298,2342
"District Judge, 176th Judicial District",0127,978,214,1192,2091,57.01%,814,309,1123
"District Judge, 176th Judicial District",0128,1107,612,1719,2322,74.03%,1095,488,1583
"District Judge, 176th Judicial District",0129,2540,1052,3592,5172,69.45%,2088,1305,3393
"District Judge, 176th Judicial District",0130,1310,433,1743,2289,76.15%,1257,409,1666
"District Judge, 176th Judicial District",0131,798,371,1169,2147,54.45%,245,890,1135
"District Judge, 176th Judicial District",0132,1028,322,1350,2378,56.77%,40,1280,1320
"District Judge, 176th Judicial District",0133,1411,746,2157,2690,80.19%,1240,752,1992
"District Judge, 176th Judicial District",0134,593,345,938,1513,62.00%,358,521,879
"District Judge, 176th Judicial District",0135,1614,551,2165,2777,77.96%,1406,615,2021
"District Judge, 176th Judicial District",0136,982,352,1334,2116,63.04%,79,1200,1279
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0137,993,259,1252,1986,63.04%,818,376,1194
"District Judge, 176th Judicial District",0138,600,228,828,1723,48.06%,34,767,801
"District Judge, 176th Judicial District",0139,1939,601,2540,3435,73.94%,1217,1117,2334
"District Judge, 176th Judicial District",0140,1513,510,2023,3270,61.87%,334,1570,1904
"District Judge, 176th Judicial District",0141,217,153,370,904,40.93%,194,147,341
"District Judge, 176th Judicial District",0142,293,140,433,933,46.41%,95,306,401
"District Judge, 176th Judicial District",0143,1868,267,2135,2582,82.69%,1387,675,2062
"District Judge, 176th Judicial District",0144,442,125,567,1086,52.21%,14,536,550
"District Judge, 176th Judicial District",0145,560,256,816,1564,52.17%,16,776,792
"District Judge, 176th Judicial District",0146,1000,494,1494,2073,72.07%,669,729,1398
"District Judge, 176th Judicial District",0147,1411,354,1765,3211,54.97%,221,1484,1705
"District Judge, 176th Judicial District",0148,1265,652,1917,2571,74.56%,842,928,1770
"District Judge, 176th Judicial District",0149,2938,573,3511,4756,73.82%,1919,1463,3382
"District Judge, 176th Judicial District",0150,582,223,805,1574,51.14%,29,748,777
"District Judge, 176th Judicial District",0151,282,107,389,826,47.09%,13,360,373
"District Judge, 176th Judicial District",0152,838,524,1362,3059,44.52%,278,997,1275
"District Judge, 176th Judicial District",0153,544,399,943,1873,50.35%,208,686,894
"District Judge, 176th Judicial District",0154,913,289,1202,2293,52.42%,241,865,1106
"District Judge, 176th Judicial District",0155,2275,576,2851,4065,70.14%,1766,937,2703
"District Judge, 176th Judicial District",0156,1413,403,1815,3223,56.35%,94,1653,1747
"District Judge, 176th Judicial District",0157,880,278,1158,2265,51.13%,62,1061,1123
"District Judge, 176th Judicial District",0158,1143,365,1508,3049,49.46%,39,1433,1472
"District Judge, 176th Judicial District",0159,348,147,495,997,49.65%,77,398,475
"District Judge, 176th Judicial District",0160,286,67,353,717,49.23%,16,324,340
"District Judge, 176th Judicial District",0161,378,173,551,992,55.54%,19,509,528
"District Judge, 176th Judicial District",0162,364,267,631,1312,48.09%,153,429,582
"District Judge, 176th Judicial District",0163,1080,524,1604,3075,52.16%,439,993,1432
"District Judge, 176th Judicial District",0164,441,258,699,1407,49.68%,26,647,673
"District Judge, 176th Judicial District",0165,1169,469,1638,2460,66.59%,932,602,1534
"District Judge, 176th Judicial District",0166,562,261,823,1171,70.28%,285,481,766
"District Judge, 176th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 176th Judicial District",0168,196,59,255,512,49.80%,6,243,249
"District Judge, 176th Judicial District",0169,985,247,1232,2548,48.35%,36,1153,1189
"District Judge, 176th Judicial District",0170,553,262,925,1958,47.24%,408,452,860
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0171,482,283,765,1648,46.42%,42,689,731
"District Judge, 176th Judicial District",0172,245,103,348,661,52.65%,89,241,330
"District Judge, 176th Judicial District",0173,2259,683,2942,3966,74.18%,2149,651,2800
"District Judge, 176th Judicial District",0174,1715,707,2423,3389,71.50%,1619,664,2283
"District Judge, 176th Judicial District",0175,1402,691,2093,2711,77.20%,1124,812,1936
"District Judge, 176th Judicial District",0176,767,375,1142,1533,74.49%,598,452,1050
"District Judge, 176th Judicial District",0177,937,333,1270,1715,74.05%,702,471,1173
"District Judge, 176th Judicial District",0178,1116,273,1389,1795,77.38%,934,353,1287
"District Judge, 176th Judicial District",0179,771,244,1015,1673,60.67%,469,478,947
"District Judge, 176th Judicial District",0180,928,463,1391,2914,47.74%,53,1282,1335
"District Judge, 176th Judicial District",0181,697,439,1136,2195,51.75%,246,829,1075
"District Judge, 176th Judicial District",0182,1943,994,2937,4071,72.14%,1617,1080,2697
"District Judge, 176th Judicial District",0183,1286,715,2001,2535,78.93%,1287,564,1851
"District Judge, 176th Judicial District",0184,278,219,497,1048,47.42%,127,332,459
"District Judge, 176th Judicial District",0185,709,444,1153,2054,56.13%,290,793,1083
"District Judge, 176th Judicial District",0186,252,150,402,798,50.38%,32,353,385
"District Judge, 176th Judicial District",0187,95,51,147,309,47.57%,25,109,134
"District Judge, 176th Judicial District",0188,499,306,805,1711,47.05%,244,521,765
"District Judge, 176th Judicial District",0189,804,279,1083,1505,71.96%,611,401,1012
"District Judge, 176th Judicial District",0190,571,326,897,1849,48.51%,260,580,840
"District Judge, 176th Judicial District",0191,327,259,586,1408,41.62%,172,389,561
"District Judge, 176th Judicial District",0192,757,259,1016,1959,51.86%,61,913,974
"District Judge, 176th Judicial District",0193,375,211,586,1099,53.32%,20,539,559
"District Judge, 176th Judicial District",0194,1138,449,1587,2172,73.07%,474,1007,1481
"District Judge, 176th Judicial District",0195,606,344,950,1739,54.63%,55,845,900
"District Judge, 176th Judicial District",0196,132,37,169,313,53.99%,13,144,157
"District Judge, 176th Judicial District",0197,995,372,1368,2969,46.08%,46,1276,1322
"District Judge, 176th Judicial District",0198,161,82,243,619,39.26%,9,223,232
"District Judge, 176th Judicial District",0199,1929,815,2744,4063,67.54%,2035,587,2622
"District Judge, 176th Judicial District",0200,2307,377,2684,3692,72.70%,1272,1229,2501
"District Judge, 176th Judicial District",0201,221,105,326,773,42.17%,14,305,319
"District Judge, 176th Judicial District",0202,421,233,654,1410,46.38%,29,600,629
"District Judge, 176th Judicial District",0203,298,111,409,988,41.40%,71,310,381
"District Judge, 176th Judicial District",0204,2099,577,2676,3568,75.00%,1431,1027,2458
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0205,771,171,942,1724,54.64%,26,892,918
"District Judge, 176th Judicial District",0206,1277,494,1771,2965,59.73%,556,1079,1635
"District Judge, 176th Judicial District",0207,605,212,817,1166,70.07%,269,491,760
"District Judge, 176th Judicial District",0208,909,338,1247,2256,55.27%,286,876,1162
"District Judge, 176th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 176th Judicial District",0210,1259,489,1748,2781,62.86%,293,1379,1672
"District Judge, 176th Judicial District",0211,964,595,1559,3130,49.81%,432,1023,1455
"District Judge, 176th Judicial District",0212,309,323,632,1370,46.13%,106,484,590
"District Judge, 176th Judicial District",0213,1782,795,2577,3406,75.66%,2017,432,2449
"District Judge, 176th Judicial District",0214,1016,418,1434,1911,75.04%,851,469,1320
"District Judge, 176th Judicial District",0215,1096,636,1732,2286,75.77%,1008,598,1606
"District Judge, 176th Judicial District",0216,778,244,1022,1966,51.98%,64,917,981
"District Judge, 176th Judicial District",0217,1545,618,2163,2736,79.06%,1428,609,2037
"District Judge, 176th Judicial District",0218,1099,457,1555,2467,63.07%,399,1017,1416
"District Judge, 176th Judicial District",0219,1117,515,1632,2868,56.90%,155,1398,1553
"District Judge, 176th Judicial District",0220,832,306,1138,2362,48.18%,704,364,1068
"District Judge, 176th Judicial District",0221,1032,473,1505,2598,57.93%,487,915,1402
"District Judge, 176th Judicial District",0222,1460,671,2131,2728,78.12%,1091,863,1954
"District Judge, 176th Judicial District",0223,1750,517,2267,3664,61.87%,596,1517,2113
"District Judge, 176th Judicial District",0224,1155,495,1551,2313,71.81%,799,740,1539
"District Judge, 176th Judicial District",0225,1353,596,1949,3689,52.83%,807,1046,1853
"District Judge, 176th Judicial District",0226,840,421,1261,2554,49.37%,239,964,1203
"District Judge, 176th Judicial District",0227,1071,359,1430,1810,79.01%,1087,263,1350
"District Judge, 176th Judicial District",0228,625,159,784,1175,66.72%,53,713,766
"District Judge, 176th Judicial District",0229,227,168,395,828,47.71%,107,264,371
"District Judge, 176th Judicial District",0230,353,155,518,1094,47.35%,26,477,503
"District Judge, 176th Judicial District",0231,801,445,1246,2376,52.44%,260,920,1180
"District Judge, 176th Judicial District",0232,941,438,1379,1826,75.52%,774,503,1277
"District Judge, 176th Judicial District",0233,2571,703,3274,4713,69.47%,1549,1486,3035
"District Judge, 176th Judicial District",0234,2419,728,3147,4042,77.86%,2332,643,2975
"District Judge, 176th Judicial District",0235,461,203,664,1421,46.73%,25,609,634
"District Judge, 176th Judicial District",0236,555,308,964,2104,45.82%,50,885,935
"District Judge, 176th Judicial District",0237,739,312,1051,2146,48.97%,25,996,1021
"District Judge, 176th Judicial District",0238,606,317,923,1948,47.38%,31,858,889
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0239,694,334,1028,1984,51.81,%,39,967,1006
"District Judge, 176th Judicial District",0240,1007,292,1299,2601,49.94%,36,1230,1266
"District Judge, 176th Judicial District",0241,651,383,1034,2466,41.93%,324,664,988
"District Judge, 176th Judicial District",0242,506,314,820,1744,47.02%,358,406,764
"District Judge, 176th Judicial District",0243,244,42,286,475,60.21%,8,276,284
"District Judge, 176th Judicial District",0244,1409,538,1947,3296,59.07%,901,953,1854
"District Judge, 176th Judicial District",0245,2100,811,2911,4679,62.21%,1792,963,2755
"District Judge, 176th Judicial District",0246,2209,482,2691,3971,67.77%,1650,933,2583
"District Judge, 176th Judicial District",0247,440,376,816,1595,51.16%,21,778,799
"District Judge, 176th Judicial District",0248,453,347,800,2147,37.26%,179,570,749
"District Judge, 176th Judicial District",0249,1124,365,1489,2825,52.71%,912,527,1439
"District Judge, 176th Judicial District",0250,288,183,471,925,50.92%,19,442,461
"District Judge, 176th Judicial District",0251,806,378,1184,2132,55.53%,63,1076,1139
"District Judge, 176th Judicial District",0252,925,309,1235,2292,53.88%,21,1183,1204
"District Judge, 176th Judicial District",0253,759,311,1070,2154,49.68%,34,1014,1048
"District Judge, 176th Judicial District",0254,411,280,691,1675,41.25%,148,503,651
"District Judge, 176th Judicial District",0255,1253,586,1839,2489,73.89%,837,867,1704
"District Judge, 176th Judicial District",0256,1398,583,1981,3321,59.65%,680,1177,1857
"District Judge, 176th Judicial District",0257,997,622,1619,3497,46.30%,374,1173,1547
"District Judge, 176th Judicial District",0258,1948,608,2555,3346,76.39%,1851,558,2409
"District Judge, 176th Judicial District",0259,1030,414,1444,2312,62.46%,34,1373,1407
"District Judge, 176th Judicial District",0260,547,227,774,1300,59.54%,378,350,728
"District Judge, 176th Judicial District",0261,442,531,973,1457,66.78%,278,635,913
"District Judge, 176th Judicial District",0262,1847,676,2523,4397,57.38%,1348,1024,2372
"District Judge, 176th Judicial District",0263,2208,665,2873,4016,71.54%,2017,720,2737
"District Judge, 176th Judicial District",0264,1110,627,1737,3101,56.01%,877,755,1632
"District Judge, 176th Judicial District",0265,1991,608,2599,3582,72.56%,1856,580,2436
"District Judge, 176th Judicial District",0266,737,443,1180,2147,54.96%,441,671,1112
"District Judge, 176th Judicial District",0267,421,293,714,1433,49.83%,252,419,671
"District Judge, 176th Judicial District",0268,1174,689,1863,2528,73.69%,1076,624,1700
"District Judge, 176th Judicial District",0269,1305,365,1670,2114,79.00%,1258,311,1569
"District Judge, 176th Judicial District",0270,1816,688,2504,3985,62.84%,1237,1094,2331
"District Judge, 176th Judicial District",0271,1150,346,1496,2558,58.48%,36,1430,1466
"District Judge, 176th Judicial District",0272,870,415,1285,2334,55.06%,453,760,1213
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0273,1175,647,1822,2485,73.32%,1409,334,1743
"District Judge, 176th Judicial District",0274,1251,311,1572,2223,70.72%,990,473,1463
"District Judge, 176th Judicial District",0275,585,334,919,2059,44.63%,148,735,883
"District Judge, 176th Judicial District",0276,1027,255,1282,2458,52.16%,20,1234,1254
"District Judge, 176th Judicial District",0277,573,338,911,1898,48.00%,312,561,873
"District Judge, 176th Judicial District",0278,1059,469,1528,2602,58.72%,632,807,1439
"District Judge, 176th Judicial District",0279,789,314,1103,2073,53.21%,610,440,1050
"District Judge, 176th Judicial District",0280,444,362,806,1656,48.67%,223,536,759
"District Judge, 176th Judicial District",0281,1287,590,1877,2507,74.87%,955,750,1705
"District Judge, 176th Judicial District",0282,773,604,1377,2144,64.23%,787,517,1304
"District Judge, 176th Judicial District",0283,2351,1143,3494,6365,54.89%,478,2879,3357
"District Judge, 176th Judicial District",0284,1585,574,2159,4079,52.93%,717,1330,2047
"District Judge, 176th Judicial District",0285,1077,431,1508,2680,56.27%,124,1335,1459
"District Judge, 176th Judicial District",0286,1708,545,2253,3757,59.97%,187,1989,2176
"District Judge, 176th Judicial District",0287,851,408,1259,1658,75.93%,612,563,1175
"District Judge, 176th Judicial District",0288,881,314,1195,2208,54.12%,29,1136,1165
"District Judge, 176th Judicial District",0289,481,352,833,1584,52.59%,305,467,772
"District Judge, 176th Judicial District",0290,705,332,1037,1623,63.89%,747,251,998
"District Judge, 176th Judicial District",0291,503,233,836,1218,68.64%,367,419,786
"District Judge, 176th Judicial District",0292,549,178,727,1379,52.72%,83,620,703
"District Judge, 176th Judicial District",0293,778,475,1253,1811,69.19%,541,627,1168
"District Judge, 176th Judicial District",0294,852,198,1050,2054,51.12%,16,1018,1034
"District Judge, 176th Judicial District",0295,270,111,381,894,42.62%,10,360,370
"District Judge, 176th Judicial District",0296,701,385,1086,1705,63.70%,554,454,1008
"District Judge, 176th Judicial District",0297,729,341,1070,2055,52.07%,371,637,1008
"District Judge, 176th Judicial District",0298,1095,387,1482,2236,66.28%,744,664,1408
"District Judge, 176th Judicial District",0299,499,236,735,1506,48.80%,222,462,684
"District Judge, 176th Judicial District",0300,3385,728,4113,5480,75.05%,3062,862,3924
"District Judge, 176th Judicial District",0301,737,392,1129,2337,48.31%,376,689,1065
"District Judge, 176th Judicial District",0302,1197,591,1788,3277,54.56%,884,821,1705
"District Judge, 176th Judicial District",0303,1896,692,2588,3375,76.68%,1991,476,2467
"District Judge, 176th Judicial District",0304,1190,474,1664,2326,71.54%,957,589,1546
"District Judge, 176th Judicial District",0305,2154,645,2799,4838,57.85%,895,1783,2678
"District Judge, 176th Judicial District",0306,1095,299,1395,1896,73.58%,986,319,1305
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0307,1456,801,2257,3270,69.02%,1489,632,2121
"District Judge, 176th Judicial District",0308,526,225,751,1457,51.54%,184,514,698
"District Judge, 176th Judicial District",0309,2160,591,2751,3495,78.71%,2115,490,2605
"District Judge, 176th Judicial District",0310,709,326,1035,1464,70.70%,624,339,963
"District Judge, 176th Judicial District",0311,930,643,1573,3222,48.82%,720,731,1451
"District Judge, 176th Judicial District",0312,1705,552,2257,3724,60.61%,1170,961,2131
"District Judge, 176th Judicial District",0313,23,8,31,61,50.82%,15,8,23
"District Judge, 176th Judicial District",0314,2997,817,3814,5606,68.03%,2139,1531,3670
"District Judge, 176th Judicial District",0315,801,353,1154,1636,70.54%,661,416,1077
"District Judge, 176th Judicial District",0316,739,340,1079,1513,71.32%,607,385,992
"District Judge, 176th Judicial District",0317,593,252,845,1661,50.87%,219,575,794
"District Judge, 176th Judicial District",0318,1726,529,2255,3776,59.72%,132,2054,2186
"District Judge, 176th Judicial District",0319,994,271,1265,2199,57.53%,73,1156,1229
"District Judge, 176th Judicial District",0320,554,238,792,1570,50.45%,281,460,741
"District Judge, 176th Judicial District",0321,867,363,1230,2483,49.54%,344,788,1132
"District Judge, 176th Judicial District",0322,426,124,550,1210,45.45%,156,374,530
"District Judge, 176th Judicial District",0323,700,296,996,1793,55.55%,372,570,942
"District Judge, 176th Judicial District",0324,1444,560,2004,2607,76.87%,1254,617,1871
