Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0027,1391,508,1899,3271,58.06%,425,1332,1757
"District Judge, 337th Judicial District",0028,1513,446,1959,3307,59.24%,1109,769,1878
"District Judge, 337th Judicial District",0029,548,490,1138,2722,41.81%,342,726,1068
"District Judge, 337th Judicial District",0030,1285,546,1831,2818,64.98%,547,1151,1698
"District Judge, 337th Judicial District",0031,784,453,1237,2656,46.57%,52,1129,1181
"District Judge, 337th Judicial District",0032,1245,504,1749,2728,64.11%,761,844,1605
"District Judge, 337th Judicial District",0033,2072,554,2525,3907,67.21%,997,1400,2397
"District Judge, 337th Judicial District",0034,1511,517,2128,3044,69.91%,541,1470,2011
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0035,5,0,5,14,35.71%,3,2,5
"District Judge, 337th Judicial District",0036,1032,516,1548,3100,49.94%,346,1115,1461
"District Judge, 337th Judicial District",0037,1521,409,1930,2467,78.23%,677,1099,1776
"District Judge, 337th Judicial District",0038,1876,436,2312,3081,75.04%,835,1317,2152
"District Judge, 337th Judicial District",0039,1703,492,2195,3070,71.50%,632,1395,2027
"District Judge, 337th Judicial District",0040,275,107,382,527,72.49%,210,142,352
"District Judge, 337th Judicial District",0041,712,264,976,1518,64.30%,411,517,928
"District Judge, 337th Judicial District",0042,438,109,547,1062,51.51%,17,515,532
"District Judge, 337th Judicial District",0043,815,300,1115,1972,56.54%,474,572,1046
"District Judge, 337th Judicial District",0044,726,310,1036,2126,48.73%,229,708,937
"District Judge, 337th Judicial District",0045,2263,1021,3284,5740,57.21%,631,2482,3113
"District Judge, 337th Judicial District",0046,875,341,1216,2568,47.35%,200,936,1136
"District Judge, 337th Judicial District",0047,505,268,773,1618,47.78%,50,700,750
"District Judge, 337th Judicial District",0048,348,168,516,967,53.36%,55,429,484
"District Judge, 337th Judicial District",0049,1545,731,2277,3709,61.39%,1492,686,2178
"District Judge, 337th Judicial District",0050,1836,680,2516,4314,58.32%,1208,1215,2423
"District Judge, 337th Judicial District",0051,828,271,1099,1734,63.38%,802,253,1055
"District Judge, 337th Judicial District",0052,1400,456,1856,2581,71.91%,898,820,1718
"District Judge, 337th Judicial District",0053,1675,613,2288,3083,74.21%,1001,1089,2090
"District Judge, 337th Judicial District",0054,1052,211,1263,1619,78.01%,623,527,1150
"District Judge, 337th Judicial District",0055,1252,410,1672,2094,79.85%,715,811,1526
"District Judge, 337th Judicial District",0056,698,283,981,1393,70.42%,567,352,919
"District Judge, 337th Judicial District",0057,2043,567,2610,3325,78.50%,1124,1267,2391
"District Judge, 337th Judicial District",0058,1716,484,2200,3031,72.58%,1036,1000,2036
"District Judge, 337th Judicial District",0059,1589,439,2028,2671,75.93%,912,979,1891
"District Judge, 337th Judicial District",0060,1473,537,2010,2766,72.67%,575,1286,1861
"District Judge, 337th Judicial District",0061,519,423,942,1847,51.00%,244,633,877
"District Judge, 337th Judicial District",0062,689,452,1141,2195,51.98%,221,830,1051
"District Judge, 337th Judicial District",0063,767,391,1158,1903,60.85%,903,200,1103
"District Judge, 337th Judicial District",0064,678,368,1046,2220,47.12%,200,764,964
"District Judge, 337th Judicial District",0065,638,435,1073,2178,49.27%,185,826,1011
"District Judge, 337th Judicial District",0066,247,255,502,1135,44.23%,91,377,468
"District Judge, 337th Judicial District",0067,942,521,1463,3019,48.46%,300,1046,1346
"District Judge, 337th Judicial District",0068,1171,430,1601,3096,51.71%,53,1485,1538
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0069,375,222,597,1309,45.61%,91,443,534
"District Judge, 337th Judicial District",0070,2288,670,2958,3815,77.54%,1731,1035,2766
"District Judge, 337th Judicial District",0071,2703,947,3650,5016,72.77%,1820,1580,3400
"District Judge, 337th Judicial District",0072,736,418,1154,2029,56.88%,286,788,1074
"District Judge, 337th Judicial District",0073,813,282,1095,1621,67.55%,571,445,1016
"District Judge, 337th Judicial District",0074,2503,268,2771,3578,77.45%,2055,575,2630
"District Judge, 337th Judicial District",0075,1000,286,1286,1684,76.37%,583,603,1186
"District Judge, 337th Judicial District",0076,1015,427,1442,2441,59.07%,692,660,1352
"District Judge, 337th Judicial District",0077,2,5,7,17,41.18%,2,5,7
"District Judge, 337th Judicial District",0078,618,254,872,1608,54.23%,219,579,798
"District Judge, 337th Judicial District",0079,831,602,1433,2963,48.36%,260,1058,1318
"District Judge, 337th Judicial District",0080,1174,466,1640,2840,57.75%,361,1179,1540
"District Judge, 337th Judicial District",0081,776,273,1049,1964,53.41%,305,685,990
"District Judge, 337th Judicial District",0082,1585,756,2341,3539,66.15%,1659,578,2237
"District Judge, 337th Judicial District",0083,1829,540,2369,4174,56.76%,887,1390,2277
"District Judge, 337th Judicial District",0084,573,257,830,1421,58.41%,570,226,796
"District Judge, 337th Judicial District",0085,587,329,916,2169,42.23%,47,830,877
"District Judge, 337th Judicial District",0086,2032,493,2525,3449,73.21%,1208,1146,2354
"District Judge, 337th Judicial District",0087,1451,719,2170,2839,76.44%,1407,624,2031
"District Judge, 337th Judicial District",0088,338,141,479,784,61.10%,313,140,453
"District Judge, 337th Judicial District",0089,398,424,822,1094,75.14%,490,265,755
"District Judge, 337th Judicial District",0090,1856,890,2746,3883,70.72%,2017,601,2618
"District Judge, 337th Judicial District",0091,673,339,1012,1724,58.70%,560,380,940
"District Judge, 337th Judicial District",0092,1263,474,1737,2260,76.86%,1138,486,1624
"District Judge, 337th Judicial District",0093,1048,619,1667,3536,47.14%,492,1083,1575
"District Judge, 337th Judicial District",0094,202,83,285,580,45.69%,51,200,251
"District Judge, 337th Judicial District",0095,2022,534,2556,3394,75.31%,1661,753,2414
"District Judge, 337th Judicial District",0096,828,306,1134,2060,55.05%,164,917,1081
"District Judge, 337th Judicial District",0097,2511,467,2978,4414,67.47%,2192,638,2830
"District Judge, 337th Judicial District",0098,1385,594,1979,3161,62.61%,1603,296,1899
"District Judge, 337th Judicial District",0099,681,295,976,2192,44.53%,407,519,926
"District Judge, 337th Judicial District",0100,529,276,805,1825,44.11%,331,443,774
"District Judge, 337th Judicial District",0101,221,129,350,988,35.43%,86,249,335
"District Judge, 337th Judicial District",0102,580,227,807,1907,42.32%,209,551,760
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0103,2140,985,3125,5097,61.31%,1489,1519,3008
"District Judge, 337th Judicial District",0104,913,211,1124,1920,58.54%,32,1060,1092
"District Judge, 337th Judicial District",0105,709,433,1142,2304,49.57%,287,767,1054
"District Judge, 337th Judicial District",0106,73,59,132,299,44.15%,45,85,130
"District Judge, 337th Judicial District",0107,592,403,995,2230,44.62%,154,796,950
"District Judge, 337th Judicial District",0108,1461,448,1909,3674,51.96%,906,880,1786
"District Judge, 337th Judicial District",0109,1098,278,1376,2909,47.30%,47,1285,1332
"District Judge, 337th Judicial District",0110,1661,481,2142,3222,66.48%,1212,835,2047
"District Judge, 337th Judicial District",0111,2699,866,3565,4792,74.39%,2465,924,3389
"District Judge, 337th Judicial District",0112,1507,598,2105,3188,66.03%,1377,626,2003
"District Judge, 337th Judicial District",0113,1307,418,1725,2718,63.47%,896,757,1653
"District Judge, 337th Judicial District",0114,2290,506,2796,3885,71.97%,1996,674,2670
"District Judge, 337th Judicial District",0115,609,272,881,1843,47.80%,83,759,842
"District Judge, 337th Judicial District",0116,1898,599,2497,3194,78.18%,1879,498,2377
"District Judge, 337th Judicial District",0117,573,379,952,1900,50.11%,331,554,885
"District Judge, 337th Judicial District",0118,1823,530,2353,3181,73.97%,1221,1013,2234
"District Judge, 337th Judicial District",0119,2755,409,3164,4682,67.58%,2441,572,3013
"District Judge, 337th Judicial District",0120,1804,588,2392,3732,64.09%,1416,844,2260
"District Judge, 337th Judicial District",0121,354,221,575,966,59.52%,355,203,558
"District Judge, 337th Judicial District",0122,732,284,1016,1904,53.36%,57,919,976
"District Judge, 337th Judicial District",0123,749,287,1036,1585,65.36%,304,672,976
"District Judge, 337th Judicial District",0124,3136,888,4024,5393,74.62%,3125,761,3886
"District Judge, 337th Judicial District",0125,1207,400,1607,2593,61.97%,837,696,1533
"District Judge, 337th Judicial District",0126,2017,427,2444,3380,72.31%,2046,292,2338
"District Judge, 337th Judicial District",0127,978,214,1192,2091,57.01%,818,303,1121
"District Judge, 337th Judicial District",0128,1107,612,1719,2322,74.03%,1076,499,1575
"District Judge, 337th Judicial District",0129,2540,1052,3592,5172,69.45%,2095,1296,3391
"District Judge, 337th Judicial District",0130,1310,433,1743,2289,76.15%,1238,419,1657
"District Judge, 337th Judicial District",0131,798,371,1169,2147,54.45%,254,877,1131
"District Judge, 337th Judicial District",0132,1028,322,1350,2378,56.77%,45,1275,1320
"District Judge, 337th Judicial District",0133,1411,746,2157,2690,80.19%,1229,764,1993
"District Judge, 337th Judicial District",0134,593,345,938,1513,62.00%,363,510,873
"District Judge, 337th Judicial District",0135,1614,551,2165,2777,77.96%,1410,613,2023
"District Judge, 337th Judicial District",0136,982,352,1334,2116,63.04%,79,1193,1272
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0137,993,259,1252,1986,63.04%,826,366,1192
"District Judge, 337th Judicial District",0138,600,228,828,1723,48.06%,41,757,798
"District Judge, 337th Judicial District",0139,1939,501,2540,3435,73.94%,1202,1133,2335
"District Judge, 337th Judicial District",0140,1513,510,2023,3270,61.87%,338,1560,1898
"District Judge, 337th Judicial District",0141,217,153,370,904,40.93%,191,149,340
"District Judge, 337th Judicial District",0142,293,140,433,933,46.41%,86,316,402
"District Judge, 337th Judicial District",0143,1868,267,2135,2582,82.69%,1395,664,2059
"District Judge, 337th Judicial District",0144,442,125,567,1086,52.21%,15,530,545
"District Judge, 337th Judicial District",0145,560,256,816,1564,52.17%,18,769,787
"District Judge, 337th Judicial District",0146,1000,494,1494,2073,72.07%,639,758,1397
"District Judge, 337th Judicial District",0147,1411,354,1765,3211,54.97%,227,1479,1706
"District Judge, 337th Judicial District",0148,1265,652,1917,2571,74.56%,831,935,1766
"District Judge, 337th Judicial District",0149,2938,573,3511,4756,73.82%,1936,1433,3369
"District Judge, 337th Judicial District",0150,582,223,805,1574,51.14%,34,744,778
"District Judge, 337th Judicial District",0151,252,107,389,826,47.09%,15,353,368
"District Judge, 337th Judicial District",0152,838,524,1362,3059,44.52%,272,1008,1280
"District Judge, 337th Judicial District",0153,544,399,943,1873,50.35%,215,675,890
"District Judge, 337th Judicial District",0154,913,289,1202,2293,52.42%,241,872,1113
"District Judge, 337th Judicial District",0155,2275,576,2851,4065,70.14%,1776,921,2697
"District Judge, 337th Judicial District",0156,1413,403,1515,3223,56.35%,100,1631,1731
"District Judge, 337th Judicial District",0157,550,278,1158,2265,51.13%,72,1051,1123
"District Judge, 337th Judicial District",0158,1143,365,1508,3049,49.46%,54,1413,1467
"District Judge, 337th Judicial District",0159,348,147,495,997,49.65%,75,398,473
"District Judge, 337th Judicial District",0160,286,67,353,717,49.23%,14,325,339
"District Judge, 337th Judicial District",0161,378,173,551,992,55.54%,23,505,528
"District Judge, 337th Judicial District",0162,364,267,631,1312,48.09%,159,422,581
"District Judge, 337th Judicial District",0163,1080,524,1604,3075,52.16%,445,991,1436
"District Judge, 337th Judicial District",0164,441,258,699,1407,49.68%,29,642,671
"District Judge, 337th Judicial District",0165,1169,469,1638,2460,66.59%,925,601,1526
"District Judge, 337th Judicial District",0166,562,261,823,1171,70.28%,290,475,765
"District Judge, 337th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 337th Judicial District",0168,196,59,255,512,49.80%,5,245,250
"District Judge, 337th Judicial District",0169,985,247,1232,2548,48.35%,48,1143,1191
"District Judge, 337th Judicial District",0170,553,262,925,1958,47.24%,408,449,857
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0171,482,283,765,1648,46.42%,38,687,725
"District Judge, 337th Judicial District",0172,245,103,348,661,52.65%,86,241,327
"District Judge, 337th Judicial District",0173,2259,683,2942,3966,74.18%,2172,629,2801
"District Judge, 337th Judicial District",0174,1716,707,2423,3389,71.50%,1614,655,2269
"District Judge, 337th Judicial District",0175,1402,691,2093,2711,77.20%,1108,824,1932
"District Judge, 337th Judicial District",0176,767,375,1142,1533,74.49%,565,480,1045
"District Judge, 337th Judicial District",0177,937,333,1270,1715,74.05%,699,478,1177
"District Judge, 337th Judicial District",0178,1116,273,1389,1795,77.38%,923,359,1282
"District Judge, 337th Judicial District",0179,771,244,1015,1673,60.67%,467,479,946
"District Judge, 337th Judicial District",0180,928,463,1391,2914,47.74%,61,1268,1329
"District Judge, 337th Judicial District",0181,697,439,1136,2195,51.75%,266,807,1073
"District Judge, 337th Judicial District",0182,1943,994,2937,4071,72.14%,1591,1100,2691
"District Judge, 337th Judicial District",0183,1286,715,2001,2535,78.93%,1302,546,1848
"District Judge, 337th Judicial District",0184,278,219,497,1048,47.42%,127,335,462
"District Judge, 337th Judicial District",0185,709,444,1153,2054,56.13%,296,789,1085
"District Judge, 337th Judicial District",0186,252,150,402,798,50.38%,37,348,385
"District Judge, 337th Judicial District",0187,96,51,147,309,47.57%,27,108,135
"District Judge, 337th Judicial District",0188,499,306,805,1711,47.05%,253,513,766
"District Judge, 337th Judicial District",0189,804,279,1083,1505,71.96%,605,408,1013
"District Judge, 337th Judicial District",0190,571,326,897,1849,48.51%,264,581,845
"District Judge, 337th Judicial District",0191,327,259,586,1408,41.62%,182,376,558
"District Judge, 337th Judicial District",0192,757,259,1016,1959,51.86%,74,899,973
"District Judge, 337th Judicial District",0193,375,211,586,1099,53.32%,31,525,556
"District Judge, 337th Judicial District",0194,1138,449,1587,2172,73.07%,480,1005,1485
"District Judge, 337th Judicial District",0195,606,344,950,1739,54.63%,51,848,899
"District Judge, 337th Judicial District",0196,132,37,169,313,53.99%,19,138,157
"District Judge, 337th Judicial District",0197,996,372,1368,2969,46.08%,52,1268,1320
"District Judge, 337th Judicial District",0198,161,82,243,619,39.26%,9,224,233
"District Judge, 337th Judicial District",0199,1929,815,2744,4063,67.54%,2038,581,2619
"District Judge, 337th Judicial District",0200,2307,377,2684,3692,72.70%,1270,1241,2511
"District Judge, 337th Judicial District",0201,221,105,326,773,42.17%,17,301,318
"District Judge, 337th Judicial District",0202,421,233,654,1410,46.38%,33,593,626
"District Judge, 337th Judicial District",0203,298,111,409,988,41.40%,70,313,383
"District Judge, 337th Judicial District",0204,2099,577,2676,3568,75.00%,1410,1044,2454
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0205,771,171,942,1724,54.64%,30,886,916
"District Judge, 337th Judicial District",0206,1277,494,1771,2965,59.73%,543,1084,1627
"District Judge, 337th Judicial District",0207,605,212,817,1166,70.07%,280,482,762
"District Judge, 337th Judicial District",0208,909,338,1247,2256,55.27%,295,865,1160
"District Judge, 337th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0210,1259,489,1748,2781,62.86%,303,1364,1667
"District Judge, 337th Judicial District",0211,954,595,1559,3130,49.81%,440,1013,1453
"District Judge, 337th Judicial District",0212,309,323,632,1370,46.13%,104,486,590
"District Judge, 337th Judicial District",0213,1782,795,2577,3406,75.66%,2004,441,2445
"District Judge, 337th Judicial District",0214,1016,418,1434,1911,75.04%,859,458,1317
"District Judge, 337th Judicial District",0215,1096,636,1732,2286,75.77%,1003,600,1603
"District Judge, 337th Judicial District",0216,778,244,1022,1966,51.98%,61,916,977
"District Judge, 337th Judicial District",0217,1545,618,2163,2736,79.06%,1414,619,2033
"District Judge, 337th Judicial District",0218,1099,457,1555,2467,63.07%,414,1008,1422
"District Judge, 337th Judicial District",0219,1117,515,1632,2868,56.90%,162,1377,1539
"District Judge, 337th Judicial District",0220,832,306,1138,2362,48.18%,705,362,1067
"District Judge, 337th Judicial District",0221,1032,473,1505,2598,57.93%,489,915,1404
"District Judge, 337th Judicial District",0222,1460,671,2131,2728,78.12%,1071,890,1961
"District Judge, 337th Judicial District",0223,1750,517,2267,3664,61.87%,613,1489,2102
"District Judge, 337th Judicial District",0224,1155,495,1551,2313,71.81%,783,750,1533
"District Judge, 337th Judicial District",0225,1353,596,1949,3689,52.83%,821,1037,1858
"District Judge, 337th Judicial District",0226,840,421,1261,2554,49.37%,244,955,1199
"District Judge, 337th Judicial District",0227,1071,359,1430,1810,79.01%,1091,265,1356
"District Judge, 337th Judicial District",0228,625,159,784,1175,66.72%,57,710,767
"District Judge, 337th Judicial District",0229,227,168,395,828,47.71%,106,264,370
"District Judge, 337th Judicial District",0230,353,165,518,1094,47.35%,28,474,502
"District Judge, 337th Judicial District",0231,801,445,1246,2376,52.44%,272,910,1182
"District Judge, 337th Judicial District",0232,941,438,1379,1826,75.52%,763,519,1282
"District Judge, 337th Judicial District",0233,2571,703,3274,4713,69.47%,1531,1504,3035
"District Judge, 337th Judicial District",0234,2419,728,3147,4042,77.86%,2318,654,2972
"District Judge, 337th Judicial District",0235,461,203,664,1421,46.73%,31,603,634
"District Judge, 337th Judicial District",0236,555,308,964,2104,45.82%,52,880,932
"District Judge, 337th Judicial District",0237,739,312,1051,2146,48.97%,29,989,1018
"District Judge, 337th Judicial District",0238,606,317,923,1948,47.38%,31,853,884
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0239,694,334,1028,1984,51.81%,48,958,1006
"District Judge, 337th Judicial District",0240,1007,292,1299,2601,49.94%,35,1230,1265
"District Judge, 337th Judicial District",0241,651,383,1034,2466,41.93%,325,661,986
"District Judge, 337th Judicial District",0242,506,314,820,1744,47.02%,360,402,762
"District Judge, 337th Judicial District",0243,244,42,286,475,60.21%,7,276,283
"District Judge, 337th Judicial District",0244,1409,538,1947,3296,59.07%,930,918,1848
"District Judge, 337th Judicial District",0245,2100,811,2911,4679,62.21%,1794,956,2750
"District Judge, 337th Judicial District",0246,2209,482,2691,3971,67.77%,1662,918,2580
"District Judge, 337th Judicial District",0247,440,376,816,1595,51.16%,23,776,799
"District Judge, 337th Judicial District",0248,453,347,800,2147,37.26%,183,570,753
"District Judge, 337th Judicial District",0249,1124,365,1489,2825,52.71%,924,517,1441
"District Judge, 337th Judicial District",0250,288,183,471,925,50.92%,20,440,460
"District Judge, 337th Judicial District",0251,806,378,1184,2132,55.53%,69,1071,1140
"District Judge, 337th Judicial District",0252,925,309,1235,2292,53.88%,30,1170,1200
"District Judge, 337th Judicial District",0253,759,311,1070,2154,49.68%,38,1005,1043
"District Judge, 337th Judicial District",0254,411,280,691,1675,41.25%,146,503,649
"District Judge, 337th Judicial District",0255,1253,586,1839,2489,73.89%,839,861,1700
"District Judge, 337th Judicial District",0256,1398,583,1981,3321,59.65%,661,1190,1851
"District Judge, 337th Judicial District",0257,997,622,1619,3497,46.30%,377,1162,1539
"District Judge, 337th Judicial District",0258,1948,608,2555,3346,76.39%,1841,561,2402
"District Judge, 337th Judicial District",0259,1030,414,1444,2312,62.46%,44,1361,1405
"District Judge, 337th Judicial District",0260,547,227,774,1300,59.54%,385,342,727
"District Judge, 337th Judicial District",0261,442,531,973,1457,66.78%,269,642,911
"District Judge, 337th Judicial District",0262,1847,676,2523,4397,57.38%,1366,1005,2371
"District Judge, 337th Judicial District",0263,2208,665,2873,4016,71.54%,2035,704,2739
"District Judge, 337th Judicial District",0264,1110,627,1737,3101,56.01%,872,757,1629
"District Judge, 337th Judicial District",0265,1991,608,2599,3582,72.56%,1857,575,2432
"District Judge, 337th Judicial District",0266,737,443,1180,2147,54.96%,436,671,1107
"District Judge, 337th Judicial District",0267,421,293,714,1433,49.83%,261,411,672
"District Judge, 337th Judicial District",0268,1174,689,1863,2528,73.69%,1064,636,1700
"District Judge, 337th Judicial District",0269,1305,365,1670,2114,79.00%,1246,321,1567
"District Judge, 337th Judicial District",0270,1816,688,2504,3985,62.84%,1250,1084,2334
"District Judge, 337th Judicial District",0271,1150,346,1496,2558,58.48%,42,1421,1463
"District Judge, 337th Judicial District",0272,870,415,1285,2334,55.06%,456,756,1212
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0273,1175,647,1822,2485,73.32%,1413,327,1740
"District Judge, 337th Judicial District",0274,1251,311,1572,2223,70.72%,992,474,1466
"District Judge, 337th Judicial District",0275,585,334,919,2059,44.63%,160,723,883
"District Judge, 337th Judicial District",0276,1027,255,1282,2458,52.16%,30,1220,1250
"District Judge, 337th Judicial District",0277,573,338,911,1898,48.00%,320,549,869
"District Judge, 337th Judicial District",0278,1059,469,1528,2602,58.72%,651,788,1439
"District Judge, 337th Judicial District",0279,789,314,1103,2073,53.21%,617,432,1049
"District Judge, 337th Judicial District",0280,444,362,806,1656,48.67%,227,529,756
"District Judge, 337th Judicial District",0281,1287,590,1877,2507,74.87%,914,797,1711
"District Judge, 337th Judicial District",0282,773,604,1377,2144,64.23%,777,522,1299
"District Judge, 337th Judicial District",0283,2351,1143,3494,6365,54.89%,515,2845,3360
"District Judge, 337th Judicial District",0284,1585,574,2159,4079,52.93%,722,1314,2036
"District Judge, 337th Judicial District",0285,1077,431,1508,2680,56.27%,119,1333,1452
"District Judge, 337th Judicial District",0286,1708,545,2253,3757,59.97%,197,1975,2172
"District Judge, 337th Judicial District",0287,851,408,1259,1658,75.93%,621,556,1177
"District Judge, 337th Judicial District",0288,881,314,1195,2208,54.12%,32,1129,1161
"District Judge, 337th Judicial District",0289,481,352,833,1584,52.59%,308,465,773
"District Judge, 337th Judicial District",0290,705,332,1037,1623,63.89%,749,250,999
"District Judge, 337th Judicial District",0291,503,233,836,1218,68.64%,366,420,786
"District Judge, 337th Judicial District",0292,549,178,727,1379,52.72%,89,611,700
"District Judge, 337th Judicial District",0293,778,475,1253,1811,69.19%,535,628,1163
"District Judge, 337th Judicial District",0294,852,198,1050,2054,51.12%,18,1009,1027
"District Judge, 337th Judicial District",0295,270,111,381,894,42.62%,12,358,370
"District Judge, 337th Judicial District",0296,701,385,1086,1705,63.70%,546,456,1002
"District Judge, 337th Judicial District",0297,729,341,1070,2055,52.07%,370,637,1007
"District Judge, 337th Judicial District",0298,1095,387,1482,2236,66.28%,747,658,1405
"District Judge, 337th Judicial District",0299,499,236,735,1506,48.80%,226,458,684
"District Judge, 337th Judicial District",0300,3385,728,4113,5480,75.05%,3078,843,3921
"District Judge, 337th Judicial District",0301,737,392,1129,2337,48.31%,385,677,1062
"District Judge, 337th Judicial District",0302,1197,591,1788,3277,54.56%,900,803,1703
"District Judge, 337th Judicial District",0303,1896,692,2588,3375,76.68%,1973,496,2469
"District Judge, 337th Judicial District",0304,1190,474,1664,2326,71.54%,933,607,1540
"District Judge, 337th Judicial District",0305,2154,545,2799,4838,57.85%,916,1760,2676
"District Judge, 337th Judicial District",0306,1095,299,1395,1896,73.58%,988,313,1301
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0307,1456,801,2257,3270,69.02%,1494,621,2115
"District Judge, 337th Judicial District",0308,526,225,751,1457,51.54%,190,503,693
"District Judge, 337th Judicial District",0309,2160,591,2751,3495,78.71%,2109,495,2604
"District Judge, 337th Judicial District",0310,709,326,1035,1464,70.70%,633,329,962
"District Judge, 337th Judicial District",0311,930,643,1573,3222,48.82%,715,734,1449
"District Judge, 337th Judicial District",0312,1705,552,2257,3724,60.61%,1183,945,2128
"District Judge, 337th Judicial District",0313,23,8,31,61,50.82%,16,9,25
"District Judge, 337th Judicial District",0314,2997,817,3814,5606,68.03%,2160,1505,3665
"District Judge, 337th Judicial District",0315,801,353,1154,1636,70.54%,651,425,1076
"District Judge, 337th Judicial District",0316,739,340,1079,1513,71.32%,585,410,995
"District Judge, 337th Judicial District",0317,593,252,845,1661,50.87%,222,573,795
"District Judge, 337th Judicial District",0318,1726,529,2255,3776,59.72%,132,2044,2176
"District Judge, 337th Judicial District",0319,994,271,1265,2199,57.53%,76,1146,1222
"District Judge, 337th Judicial District",0320,554,238,792,1570,50.45%,282,458,740
"District Judge, 337th Judicial District",0321,867,363,1230,2483,49.54%,344,782,1126
"District Judge, 337th Judicial District",0322,426,124,550,1210,45.45%,164,368,532
"District Judge, 337th Judicial District",0323,700,296,996,1793,55.55%,374,570,944
"District Judge, 337th Judicial District",0324,1444,560,2004,2607,76.87%,1244,631,1875
"District Judge, 337th Judicial District",0325,802,257,1059,2176,48.67%,194,794,988
"District Judge, 337th Judicial District",0326,271,129,400,736,54.35%,143,223,366
"District Judge, 337th Judicial District",0327,738,141,879,1758,50.00%,29,815,844
