Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0055,1262,410,1672,2094,79.85%,686,850,1536
"District Judge, 215th Judicial District",0056,698,283,981,1393,70.42%,552,366,918
"District Judge, 215th Judicial District",0057,2043,567,2610,3325,78.50%,1083,1306,2389
"District Judge, 215th Judicial District",0058,1716,484,2200,3031,72.58%,969,1066,2035
"District Judge, 215th Judicial District",0059,1589,439,2028,2671,75.93%,865,1028,1893
"District Judge, 215th Judicial District",0060,1473,537,2010,2766,72.67%,565,1290,1855
"District Judge, 215th Judicial District",0061,519,423,942,1847,51.00%,228,647,875
"District Judge, 215th Judicial District",0062,689,452,1141,2195,51.98%,193,859,1052
"District Judge, 215th Judicial District",0063,767,391,1158,1903,60.85%,896,207,1103
"District Judge, 215th Judicial District",0064,678,368,1046,2220,47.12%,183,785,968
"District Judge, 215th Judicial District",0065,638,435,1073,2178,49.27%,162,848,1010
"District Judge, 215th Judicial District",0066,247,255,502,1135,44.23%,83,386,469
"District Judge, 215th Judicial District",0067,942,521,1463,3019,48.46%,259,1087,1346
"District Judge, 215th Judicial District",0068,1171,430,1601,3096,51.71%,39,1504,1543
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0069,375,222,597,1309,45.61%,87,455,542
"District Judge, 215th Judicial District",0070,2288,670,2958,3815,77.54%,1695,1074,2769
"District Judge, 215th Judicial District",0071,2703,947,3650,5016,72.77%,1745,1658,3403
"District Judge, 215th Judicial District",0072,736,418,1154,2029,56.88%,253,822,1075
"District Judge, 215th Judicial District",0073,813,282,1095,1621,67.55%,540,469,1009
"District Judge, 215th Judicial District",0074,2503,268,2771,3578,77.45%,2023,605,2628
"District Judge, 215th Judicial District",0075,1000,286,1286,1684,76.37%,557,629,1186
"District Judge, 215th Judicial District",0076,1015,427,1442,2441,59.07%,657,696,1353
"District Judge, 215th Judicial District",0077,2,5,7,17,41.18%,2,5,7
"District Judge, 215th Judicial District",0078,618,254,872,1608,54.23%,196,599,795
"District Judge, 215th Judicial District",0079,831,602,1433,2963,48.36%,223,1093,1316
"District Judge, 215th Judicial District",0080,1174,466,1640,2840,57.75%,343,1202,1545
"District Judge, 215th Judicial District",0081,776,273,1049,1964,53.41%,279,709,988
"District Judge, 215th Judicial District",0082,1585,756,2341,3539,66.15%,1632,608,2240
"District Judge, 215th Judicial District",0083,1829,540,2369,4174,56.76%,847,1423,2270
"District Judge, 215th Judicial District",0084,573,257,830,1421,58.41%,564,232,796
"District Judge, 215th Judicial District",0085,587,329,916,2169,42.23%,36,844,880
"District Judge, 215th Judicial District",0086,2032,493,2525,3449,73.21%,1148,1206,2354
"District Judge, 215th Judicial District",0087,1451,719,2170,2839,76.44%,1376,652,2028
"District Judge, 215th Judicial District",0088,338,141,479,784,61.10%,306,148,454
"District Judge, 215th Judicial District",0089,398,424,822,1094,75.14%,457,295,752
"District Judge, 215th Judicial District",0090,1856,890,2746,3883,70.72%,1960,654,2614
"District Judge, 215th Judicial District",0091,673,339,1012,1724,58.70%,540,403,943
"District Judge, 215th Judicial District",0092,1263,474,1737,2260,76.86%,1081,542,1623
"District Judge, 215th Judicial District",0093,1048,619,1667,3536,47.14%,447,1131,1578
"District Judge, 215th Judicial District",0094,202,53,255,580,45.69%,42,209,251
"District Judge, 215th Judicial District",0095,2022,534,2556,3394,75.31%,1619,799,2418
"District Judge, 215th Judicial District",0096,828,306,1134,2060,55.05%,145,936,1081
"District Judge, 215th Judicial District",0097,2511,467,2978,4414,67.47%,2168,667,2835
"District Judge, 215th Judicial District",0098,1385,594,1979,3161,62.61%,1581,321,1902
"District Judge, 215th Judicial District",0099,681,295,976,2192,44.53%,393,536,929
"District Judge, 215th Judicial District",0100,529,276,805,1825,44.11%,325,447,772
"District Judge, 215th Judicial District",0101,221,129,350,988,35.43%,77,258,335
"District Judge, 215th Judicial District",0102,580,227,807,1907,42.32%,193,569,762
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0103,2140,985,3125,5097,61.31%,1454,1553,3007
"District Judge, 215th Judicial District",0104,913,211,1124,1920,58.54%,20,1071,1091
"District Judge, 215th Judicial District",0105,709,433,1142,2304,49.57%,262,792,1054
"District Judge, 215th Judicial District",0106,73,59,132,299,44.15%,40,90,130
"District Judge, 215th Judicial District",0107,592,403,995,2230,44.62%,139,813,952
"District Judge, 215th Judicial District",0108,1461,448,1909,3674,51.96%,872,913,1785
"District Judge, 215th Judicial District",0109,1098,278,1376,2909,47.30%,26,1304,1330
"District Judge, 215th Judicial District",0110,1661,481,2142,3222,66.48%,1198,852,2050
"District Judge, 215th Judicial District",0111,2699,866,3565,4792,74.39%,2413,985,3398
"District Judge, 215th Judicial District",0112,1507,598,2105,3188,66.03%,1336,667,2003
"District Judge, 215th Judicial District",0113,1307,418,1725,2718,63.47%,869,786,1655
"District Judge, 215th Judicial District",0114,2290,506,2796,3885,71.97%,1979,696,2675
"District Judge, 215th Judicial District",0115,609,272,881,1843,47.80%,76,769,845
"District Judge, 215th Judicial District",0116,1898,599,2497,3194,78.18%,1839,535,2374
"District Judge, 215th Judicial District",0117,573,379,952,1900,50.11%,304,581,885
"District Judge, 215th Judicial District",0118,1823,530,2353,3181,73.97%,1190,1038,2228
"District Judge, 215th Judicial District",0119,2755,409,3164,4682,67.58%,2414,603,3017
"District Judge, 215th Judicial District",0120,1804,588,2392,3732,64.09%,1383,874,2257
"District Judge, 215th Judicial District",0121,354,221,575,966,59.52%,351,207,558
"District Judge, 215th Judicial District",0122,732,284,1016,1904,53.36%,44,933,977
"District Judge, 215th Judicial District",0123,749,287,1036,1585,65.36%,297,674,971
"District Judge, 215th Judicial District",0124,3136,888,4024,5393,74.62%,3095,795,3890
"District Judge, 215th Judicial District",0125,1207,400,1607,2593,61.97%,822,718,1540
"District Judge, 215th Judicial District",0126,2017,427,2444,3380,72.31%,2008,334,2342
"District Judge, 215th Judicial District",0127,978,214,1192,2091,57.01%,805,317,1122
"District Judge, 215th Judicial District",0128,1107,612,1719,2322,74.03%,1064,506,1570
"District Judge, 215th Judicial District",0129,2540,1052,3592,5172,69.45%,2055,1332,3387
"District Judge, 215th Judicial District",0130,1310,433,1743,2289,76.15%,1222,440,1662
"District Judge, 215th Judicial District",0131,798,371,1169,2147,54.45%,234,898,1132
"District Judge, 215th Judicial District",0132,1028,322,1350,2378,56.77%,36,1288,1324
"District Judge, 215th Judicial District",0133,1411,746,2157,2690,80.19%,1202,786,1988
"District Judge, 215th Judicial District",0134,593,345,938,1513,62.00%,351,530,881
"District Judge, 215th Judicial District",0135,1614,551,2165,2777,77.96%,1384,642,2026
"District Judge, 215th Judicial District",0136,982,352,1334,2116,63.04%,70,1212,1282
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0137,993,259,1252,1986,63.04%,808,386,1194
"District Judge, 215th Judicial District",0138,600,228,828,1723,48.06%,33,769,802
"District Judge, 215th Judicial District",0139,1939,601,2540,3435,73.94%,1171,1158,2329
"District Judge, 215th Judicial District",0140,1513,510,2023,3270,61.87%,308,1601,1909
"District Judge, 215th Judicial District",0141,217,153,370,904,40.93%,191,150,341
"District Judge, 215th Judicial District",0142,293,140,433,933,46.41%,82,318,400
"District Judge, 215th Judicial District",0143,1868,267,2135,2582,82.69%,1366,694,2060
"District Judge, 215th Judicial District",0144,442,125,567,1086,52.21%,14,532,546
"District Judge, 215th Judicial District",0145,560,256,816,1564,52.17%,12,779,791
"District Judge, 215th Judicial District",0146,1000,494,1494,2073,72.07%,634,761,1395
"District Judge, 215th Judicial District",0147,1411,354,1765,3211,54.97%,211,1495,1706
"District Judge, 215th Judicial District",0148,1265,652,1917,2571,74.56%,814,950,1764
"District Judge, 215th Judicial District",0149,2938,573,3511,4756,73.82%,1895,1478,3373
"District Judge, 215th Judicial District",0150,582,223,805,1574,51.14%,24,754,778
"District Judge, 215th Judicial District",0151,282,107,389,826,47.09%,16,357,373
"District Judge, 215th Judicial District",0152,838,524,1362,3059,44.52%,248,1036,1284
"District Judge, 215th Judicial District",0153,544,399,943,1873,50.35%,198,690,888
"District Judge, 215th Judicial District",0154,913,289,1202,2293,52.42%,220,892,1112
"District Judge, 215th Judicial District",0155,2275,576,2851,4065,70.14%,1746,958,2704
"District Judge, 215th Judicial District",0156,1413,403,1815,3223,56.35%,85,1657,1742
"District Judge, 215th Judicial District",0157,880,278,1158,2265,51.13%,57,1065,1122
"District Judge, 215th Judicial District",0158,1143,365,1508,3049,49.46%,28,1438,1466
"District Judge, 215th Judicial District",0159,348,147,495,997,49.65%,72,402,474
"District Judge, 215th Judicial District",0160,286,67,353,717,49.23%,14,324,338
"District Judge, 215th Judicial District",0161,378,173,551,992,55.54%,14,515,529
"District Judge, 215th Judicial District",0162,364,267,631,1312,48.09%,153,429,582
"District Judge, 215th Judicial District",0163,1080,524,1604,3075,52.16%,418,1015,1433
"District Judge, 215th Judicial District",0164,441,258,699,1407,49.68%,19,653,672
"District Judge, 215th Judicial District",0165,1169,469,1638,2460,66.59%,910,623,1533
"District Judge, 215th Judicial District",0166,562,261,823,1171,70.28%,271,496,767
"District Judge, 215th Judicial District",0167,5,2,7,24,29.17%,0,6,6
"District Judge, 215th Judicial District",0168,196,59,255,512,49.80%,4,244,248
"District Judge, 215th Judicial District",0169,985,247,1232,2548,48.35%,33,1157,1190
"District Judge, 215th Judicial District",0170,553,262,925,1958,47.24%,395,464,859
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0171,482,283,765,1648,46.42%,37,692,729
"District Judge, 215th Judicial District",0172,245,103,348,661,52.65%,77,250,327
"District Judge, 215th Judicial District",0173,2259,683,2942,3966,74.18%,2118,683,2801
"District Judge, 215th Judicial District",0174,171,5,707,2423,3389,71.50%,1561,709,2270
"District Judge, 215th Judicial District",0175,1402,691,2093,2711,77.20%,1064,866,1930
"District Judge, 215th Judicial District",0176,767,375,1142,1533,74.49%,570,475,1045
"District Judge, 215th Judicial District",0177,937,333,1270,1715,74.05%,681,493,1174
"District Judge, 215th Judicial District",0178,1116,273,1389,1795,77.38%,903,373,1276
"District Judge, 215th Judicial District",0179,771,244,1015,1673,60.67%,459,486,945
"District Judge, 215th Judicial District",0180,928,463,1391,2914,47.74%,51,1282,1333
"District Judge, 215th Judicial District",0181,697,439,1136,2195,51.75%,232,842,1074
"District Judge, 215th Judicial District",0182,1943,994,2937,4071,72.14%,1556,1143,2699
"District Judge, 215th Judicial District",0183,1286,715,2001,2535,78.93%,1275,575,1850
"District Judge, 215th Judicial District",0184,278,219,497,1048,47.42%,117,348,465
"District Judge, 215th Judicial District",0185,709,444,1153,2054,56.13%,276,806,1082
"District Judge, 215th Judicial District",0186,252,150,402,798,50.38%,27,357,384
"District Judge, 215th Judicial District",0187,95,51,147,309,47.57%,21,114,135
"District Judge, 215th Judicial District",0188,499,306,805,1711,47.05%,238,527,765
"District Judge, 215th Judicial District",0189,804,279,1083,1505,71.96%,598,412,1010
"District Judge, 215th Judicial District",0190,571,326,897,1849,48.51%,246,598,844
"District Judge, 215th Judicial District",0191,327,259,586,1408,41.62%,163,397,560
"District Judge, 215th Judicial District",0192,757,259,1016,1959,51.86%,52,920,972
"District Judge, 215th Judicial District",0193,375,211,586,1099,53.32%,18,543,561
"District Judge, 215th Judicial District",0194,1138,449,1587,2172,73.07%,460,1018,1478
"District Judge, 215th Judicial District",0195,606,344,950,1739,54.63%,40,858,898
"District Judge, 215th Judicial District",0196,132,37,169,313,53.99%,11,146,157
"District Judge, 215th Judicial District",0197,995,372,1368,2969,46.08%,42,1278,1320
"District Judge, 215th Judicial District",0198,161,82,243,619,39.26%,12,221,233
"District Judge, 215th Judicial District",0199,1929,815,2744,4063,67.54%,2009,608,2617
"District Judge, 215th Judicial District",0200,2307,377,2684,3692,72.70%,1216,1285,2501
"District Judge, 215th Judicial District",0201,221,105,326,773,42.17%,15,304,319
"District Judge, 215th Judicial District",0202,421,233,654,1410,46.38%,28,600,628
"District Judge, 215th Judicial District",0203,298,111,409,988,41.40%,62,319,381
"District Judge, 215th Judicial District",0204,2099,577,2676,3568,75.00%,1387,1058,2445
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0205,771,171,942,1724,54.64%,23,896,919
"District Judge, 215th Judicial District",0206,1277,494,1771,2965,59.73%,507,1126,1633
"District Judge, 215th Judicial District",0207,605,212,817,1166,70.07%,259,499,758
"District Judge, 215th Judicial District",0208,909,338,1247,2256,55.27%,272,893,1165
"District Judge, 215th Judicial District",0209,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0210,1259,489,1748,2781,62.86%,265,1402,1667
"District Judge, 215th Judicial District",0211,964,595,1559,3130,49.81%,407,1047,1454
"District Judge, 215th Judicial District",0212,309,323,632,1370,46.13%,95,496,591
"District Judge, 215th Judicial District",0213,1782,795,2577,3406,75.66%,1992,468,2460
"District Judge, 215th Judicial District",0214,1016,418,1434,1911,75.04%,817,500,1317
"District Judge, 215th Judicial District",0215,1096,636,1732,2286,75.77%,977,640,1617
"District Judge, 215th Judicial District",0216,778,244,1022,1966,51.98%,54,924,978
"District Judge, 215th Judicial District",0217,1545,618,2163,2736,79.06%,1392,644,2036
"District Judge, 215th Judicial District",0218,1099,457,1555,2467,63.07%,370,1050,1420
"District Judge, 215th Judicial District",0219,1117,515,1632,2868,56.90%,144,1407,1551
"District Judge, 215th Judicial District",0220,832,306,1138,2362,48.18%,701,367,1068
"District Judge, 215th Judicial District",0221,1032,473,1505,2598,57.93%,461,942,1403
"District Judge, 215th Judicial District",0222,1460,671,2131,2728,78.12%,1061,899,1960
"District Judge, 215th Judicial District",0223,1750,517,2267,3664,61.87%,580,1527,2107
"District Judge, 215th Judicial District",0224,1155,495,1551,2313,71.81%,761,777,1538
"District Judge, 215th Judicial District",0225,1353,596,1949,3689,52.83%,792,1065,1857
"District Judge, 215th Judicial District",0226,840,421,1261,2554,49.37%,226,976,1202
"District Judge, 215th Judicial District",0227,1071,359,1430,1810,79.01%,1067,285,1352
"District Judge, 215th Judicial District",0228,625,159,784,1175,66.72%,46,721,767
"District Judge, 215th Judicial District",0229,227,168,395,828,47.71%,102,266,368
"District Judge, 215th Judicial District",0230,353,165,518,1094,47.35%,22,481,503
"District Judge, 215th Judicial District",0231,801,445,1246,2376,52.44%,240,939,1179
"District Judge, 215th Judicial District",0232,941,438,1379,1826,75.52%,726,543,1269
"District Judge, 215th Judicial District",0233,2571,703,3274,4713,69.47%,1498,1538,3036
"District Judge, 215th Judicial District",0234,2419,728,3147,4042,77.86%,2298,667,2965
"District Judge, 215th Judicial District",0235,461,203,664,1421,46.73%,22,609,631
"District Judge, 215th Judicial District",0236,555,308,964,2104,45.82%,45,891,936
"District Judge, 215th Judicial District",0237,739,312,1051,2146,48.97%,17,1003,1020
"District Judge, 215th Judicial District",0238,606,317,923,1948,47.38%,25,866,891
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0239,594,334,1028,1984,51.81,%,35,972,1007
"District Judge, 215th Judicial District",0240,1007,292,1299,2601,49.94%,29,1239,1268
"District Judge, 215th Judicial District",0241,551,383,1034,2466,41.93%,311,674,985
"District Judge, 215th Judicial District",0242,505,314,820,1744,47.02%,346,415,761
"District Judge, 215th Judicial District",0243,244,42,286,475,60.21%,4,278,282
"District Judge, 215th Judicial District",0244,1409,538,1947,3296,59.07%,884,970,1854
"District Judge, 215th Judicial District",0245,2100,811,2911,4679,62.21%,1754,998,2752
"District Judge, 215th Judicial District",0246,2209,482,2691,3971,67.77%,1628,955,2583
"District Judge, 215th Judicial District",0247,440,376,816,1595,51.16%,23,777,800
"District Judge, 215th Judicial District",0248,453,347,800,2147,37.26%,166,585,751
"District Judge, 215th Judicial District",0249,1124,365,1489,2825,52.71%,906,532,1438
"District Judge, 215th Judicial District",0250,288,183,471,925,50.92%,21,441,462
"District Judge, 215th Judicial District",0251,806,378,1184,2132,55.53%,66,1079,1145
"District Judge, 215th Judicial District",0252,925,309,1235,2292,53.88%,25,1179,1204
"District Judge, 215th Judicial District",0253,759,311,1070,2154,49.68%,29,1019,1048
"District Judge, 215th Judicial District",0254,411,280,691,1675,41.25%,135,512,647
"District Judge, 215th Judicial District",0255,1253,586,1839,2489,73.89%,821,878,1699
"District Judge, 215th Judicial District",0256,1398,583,1981,3321,59.65%,633,1217,1850
"District Judge, 215th Judicial District",0257,997,622,1619,3497,46.30%,349,1192,1541
"District Judge, 215th Judicial District",0258,1948,505,2555,3346,76.39%,1814,594,2408
"District Judge, 215th Judicial District",0259,1030,414,1444,2312,62.46%,30,1376,1406
"District Judge, 215th Judicial District",0260,547,227,774,1300,59.54%,371,356,727
"District Judge, 215th Judicial District",0261,442,531,973,1457,66.78%,249,658,907
"District Judge, 215th Judicial District",0262,1847,676,2523,4397,57.38%,1301,1070,2371
"District Judge, 215th Judicial District",0263,2208,665,2873,4016,71.54%,1984,748,2732
"District Judge, 215th Judicial District",0264,1110,627,1737,3101,56.01%,849,778,1627
"District Judge, 215th Judicial District",0265,1991,608,2599,3582,72.56%,1825,611,2436
"District Judge, 215th Judicial District",0266,737,443,1180,2147,54.96%,414,700,1114
"District Judge, 215th Judicial District",0267,421,293,714,1433,49.83%,251,422,673
"District Judge, 215th Judicial District",0268,1174,689,1863,2528,73.69%,1056,651,1707
"District Judge, 215th Judicial District",0269,1305,365,1670,2114,79.00%,1233,334,1567
"District Judge, 215th Judicial District",0270,1815,688,2504,3985,62.84%,1176,1146,2322
"District Judge, 215th Judicial District",0271,1150,346,1496,2558,58.48%,31,1433,1464
"District Judge, 215th Judicial District",0272,870,415,1285,2334,55.06%,436,776,1212
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0273,1175,647,1822,2485,73.32%,1404,340,1744
"District Judge, 215th Judicial District",0274,1261,311,1572,2223,70.72%,979,481,1460
"District Judge, 215th Judicial District",0275,585,334,919,2059,44.63%,146,735,881
"District Judge, 215th Judicial District",0276,1027,255,1282,2458,52.16%,16,1237,1253
"District Judge, 215th Judicial District",0277,573,338,911,1898,48.00%,295,577,872
"District Judge, 215th Judicial District",0278,1059,469,1528,2602,58.72%,617,822,1439
"District Judge, 215th Judicial District",0279,789,314,1103,2073,53.21%,584,463,1047
"District Judge, 215th Judicial District",0280,444,362,806,1656,48.67%,204,550,754
"District Judge, 215th Judicial District",0281,1287,590,1877,2507,74.87%,925,793,1718
"District Judge, 215th Judicial District",0282,773,604,1377,2144,64.23%,752,546,1298
"District Judge, 215th Judicial District",0283,2351,1143,3494,6365,54.89%,456,2900,3356
"District Judge, 215th Judicial District",0284,1585,574,2159,4079,52.93%,696,1346,2042
"District Judge, 215th Judicial District",0285,1077,431,1508,2680,56.27%,105,1348,1453
"District Judge, 215th Judicial District",0286,1708,545,2253,3757,59.97%,166,2013,2179
"District Judge, 215th Judicial District",0287,851,408,1259,1658,75.93%,595,586,1181
"District Judge, 215th Judicial District",0288,881,314,1195,2208,54.12%,23,1142,1165
"District Judge, 215th Judicial District",0289,481,352,833,1584,52.59%,285,487,772
"District Judge, 215th Judicial District",0290,705,332,1037,1623,63.89%,731,267,998
"District Judge, 215th Judicial District",0291,603,233,836,1218,68.64%,345,438,783
"District Judge, 215th Judicial District",0292,549,178,727,1379,52.72%,76,622,698
"District Judge, 215th Judicial District",0293,778,475,1253,1811,69.19%,505,650,1155
"District Judge, 215th Judicial District",0294,852,198,1050,2054,51.12%,11,1021,1032
"District Judge, 215th Judicial District",0295,270,111,381,894,42.62%,11,359,370
"District Judge, 215th Judicial District",0296,701,385,1086,1705,63.70%,536,471,1007
"District Judge, 215th Judicial District",0297,729,341,1070,2055,52.07%,363,647,1010
"District Judge, 215th Judicial District",0298,1095,387,1482,2236,66.28%,727,681,1408
"District Judge, 215th Judicial District",0299,499,236,735,1506,48.80%,212,476,688
"District Judge, 215th Judicial District",0300,3385,728,4113,5480,75.05%,2997,927,3924
"District Judge, 215th Judicial District",0301,737,392,1129,2337,48.31%,362,707,1069
"District Judge, 215th Judicial District",0302,1197,591,1788,3277,54.56%,859,842,1701
"District Judge, 215th Judicial District",0303,1896,692,2588,3375,76.68%,1949,522,2471
"District Judge, 215th Judicial District",0304,1190,474,1664,2326,71.54%,928,615,1543
"District Judge, 215th Judicial District",0305,2154,645,2799,4838,57.85%,852,1825,2677
"District Judge, 215th Judicial District",0306,1096,299,1395,1896,73.58%,969,336,1305
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0307,1456,801,2257,3270,69.02%,1462,656,2118
"District Judge, 215th Judicial District",0308,526,225,751,1457,51,54%,171,525,696
"District Judge, 215th Judicial District",0309,2160,591,2751,3495,78.71%,2079,527,2606
"District Judge, 215th Judicial District",0310,709,326,1035,1464,70.70%,610,352,962
"District Judge, 215th Judicial District",0311,930,643,1573,3222,48.82%,700,753,1453
"District Judge, 215th Judicial District",0312,1705,552,2257,3724,60.61%,1144,985,2129
"District Judge, 215th Judicial District",0313,23,8,31,61,50.82%,17,7,24
"District Judge, 215th Judicial District",0314,2997,817,3814,5606,68.03%,2105,1559,3664
"District Judge, 215th Judicial District",0315,801,353,1154,1636,70.54%,646,429,1075
"District Judge, 215th Judicial District",0316,739,340,1079,1513,71.32%,586,409,995
"District Judge, 215th Judicial District",0317,593,252,845,1661,50.87%,213,583,796
"District Judge, 215th Judicial District",0318,1726,529,2255,3776,59.72%,116,2069,2185
"District Judge, 215th Judicial District",0319,994,271,1265,2199,57.53%,63,1163,1226
"District Judge, 215th Judicial District",0320,554,238,792,1570,50.45%,268,473,741
"District Judge, 215th Judicial District",0321,857,363,1230,2483,49.54%,310,814,1124
"District Judge, 215th Judicial District",0322,426,124,550,1210,45.45%,152,380,532
"District Judge, 215th Judicial District",0323,700,296,996,1793,55.55%,364,575,939
"District Judge, 215th Judicial District",0324,1444,560,2004,2607,76.87%,1208,654,1862
"District Judge, 215th Judicial District",0325,802,257,1059,2176,48.67%,172,819,991
"District Judge, 215th Judicial District",0326,271,129,400,736,54.35%,132,234,366
"District Judge, 215th Judicial District",0327,738,141,879,1758,50.00%,17,829,846
