Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0052,1402,456,1858,2581,71.99%,874,862,1736
"Justice, 14th Court of Appeals District, Place 2",0053,1676,613,2289,3083,74.25%,952,1165,2117
"Justice, 14th Court of Appeals District, Place 2",0054,1054,211,1265,1619,78.13%,589,580,1169
"Justice, 14th Court of Appeals District, Place 2",0055,1265,410,1675,2094,79.99%,692,856,1548
"Justice, 14th Court of Appeals District, Place 2",0056,698,283,981,1393,70.42%,569,360,929
"Justice, 14th Court of Appeals District, Place 2",0057,2043,567,2610,3325,78.50%,1079,1356,2435
"Justice, 14th Court of Appeals District, Place 2",0058,1717,484,2201,3031,72.62%,987,1070,2057
"Justice, 14th Court of Appeals District, Place 2",0059,1592,439,2031,2671,76.04%,865,1053,1918
"Justice, 14th Court of Appeals District, Place 2",0060,1,’474,537,2011,2766,72.70%,549,1333,1882
"Justice, 14th Court of Appeals District, Place 2",0061,519,423,942,1847,51.00%,241,641,882
"Justice, 14th Court of Appeals District, Place 2",0062,689,452,1141,2195,51.98%,192,863,1055
"Justice, 14th Court of Appeals District, Place 2",0063,767,391,1158,1903,60.85%,901,205,1106
"Justice, 14th Court of Appeals District, Place 2",0064,678,368,1046,2220,47.12%,182,790,972
"Justice, 14th Court of Appeals District, Place 2",0065,638,435,1073,2178,49.27%,169,843,1012
"Justice, 14th Court of Appeals District, Place 2",0066,247,255,502,1135,44.23%,87,385,472
"Justice, 14th Court of Appeals District, Place 2",0067,942,521,1463,3019,48.46%,271,1078,1349
"Justice, 14th Court of Appeals District, Place 2",0068,1172,430,1602,3096,51.74%,39,1512,1551
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0069,375,222,597,1309,45.61%,88,456,544
"Justice, 14th Court of Appeals District, Place 2",0070,2288,670,2958,3815,77.54%,1684,1105,2789
"Justice, 14th Court of Appeals District, Place 2",0071,2708,947,3655,5016,72.87%,1764,1680,3444
"Justice, 14th Court of Appeals District, Place 2",0072,736,418,1154,2029,56.88%,265,817,1082
"Justice, 14th Court of Appeals District, Place 2",0073,813,282,1095,1621,67.55%,546,480,1026
"Justice, 14th Court of Appeals District, Place 2",0074,2503,268,2771,3578,77.45%,2050,595,2645
"Justice, 14th Court of Appeals District, Place 2",0075,1001,286,1287,1684,76.43%,572,633,1205
"Justice, 14th Court of Appeals District, Place 2",0076,1015,427,1442,2441,59.07%,664,698,1362
"Justice, 14th Court of Appeals District, Place 2",0077,2,5,7,17,41.18%,2,5,7
"Justice, 14th Court of Appeals District, Place 2",0078,618,254,872,1608,54.23%,219,581,800
"Justice, 14th Court of Appeals District, Place 2",0079,831,602,1433,2963,48.36%,229,1094,1323
"Justice, 14th Court of Appeals District, Place 2",0080,1175,466,1641,2840,57.78%,345,1211,1556
"Justice, 14th Court of Appeals District, Place 2",0081,776,273,1049,1964,53.41%,284,705,989
"Justice, 14th Court of Appeals District, Place 2",0082,1585,756,2341,3539,66.15%,1658,589,2247
"Justice, 14th Court of Appeals District, Place 2",0083,1831,540,2371,4174,56.80%,870,1412,2282
"Justice, 14th Court of Appeals District, Place 2",0084,573,257,830,1421,58.41%,575,228,803
"Justice, 14th Court of Appeals District, Place 2",0085,588,329,917,2169,42.28%,39,851,890
"Justice, 14th Court of Appeals District, Place 2",0086,2034,493,2527,3449,73.27%,1181,1199,2380
"Justice, 14th Court of Appeals District, Place 2",0087,1451,719,2170,2839,76.44%,1359,682,2041
"Justice, 14th Court of Appeals District, Place 2",0088,338,141,479,784,61.10%,298,154,452
"Justice, 14th Court of Appeals District, Place 2",0089,398,424,822,1094,75.14%,479,291,770
"Justice, 14th Court of Appeals District, Place 2",0090,1859,890,2749,3883,70.80%,1971,656,2627
"Justice, 14th Court of Appeals District, Place 2",0091,673,339,1012,1724,58.70%,545,405,950
"Justice, 14th Court of Appeals District, Place 2",0092,1263,474,1737,2260,76.86%,1097,551,1648
"Justice, 14th Court of Appeals District, Place 2",0093,1048,619,1667,3536,47.14%,464,1124,1588
"Justice, 14th Court of Appeals District, Place 2",0094,202,63,265,580,45.69%,44,208,252
"Justice, 14th Court of Appeals District, Place 2",0095,2022,534,2556,3394,75.31%,1637,803,2440
"Justice, 14th Court of Appeals District, Place 2",0096,828,306,1134,2060,55.05%,144,938,1082
"Justice, 14th Court of Appeals District, Place 2",0097,2513,467,2980,4414,67.51%,2190,661,2851
"Justice, 14th Court of Appeals District, Place 2",0098,1385,594,1979,3161,62.61%,1593,308,1901
"Justice, 14th Court of Appeals District, Place 2",0099,681,295,976,2192,44.53%,402,533,935
"Justice, 14th Court of Appeals District, Place 2",0100,529,276,805,1825,44.11%,318,458,776
"Justice, 14th Court of Appeals District, Place 2",0101,221,129,350,988,35.43%,79,258,337
"Justice, 14th Court of Appeals District, Place 2",0102,581,227,808,1907,42.37%,198,564,762
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0103,2146,985,3131,5097,61.43%,1455,1572,3027
"Justice, 14th Court of Appeals District, Place 2",0104,914,211,1125,1920,58.59%,21,1077,1098
"Justice, 14th Court of Appeals District, Place 2",0105,709,433,1142,2304,49.57%,274,788,1062
"Justice, 14th Court of Appeals District, Place 2",0106,73,59,132,299,44.15%,40,89,129
"Justice, 14th Court of Appeals District, Place 2",0107,592,403,995,2230,44.62%,147,808,955
"Justice, 14th Court of Appeals District, Place 2",0108,1463,448,1911,3674,52.01%,879,922,1801
"Justice, 14th Court of Appeals District, Place 2",0109,1098,278,1376,2909,47.30%,29,1301,1330
"Justice, 14th Court of Appeals District, Place 2",0110,1662,481,2143,3222,66.51%,1198,861,2059
"Justice, 14th Court of Appeals District, Place 2",0111,2700,866,3566,4792,74.42%,2432,981,3413
"Justice, 14th Court of Appeals District, Place 2",0112,1507,598,2105,3188,66.03%,1349,664,2013
"Justice, 14th Court of Appeals District, Place 2",0113,1307,418,1725,2718,63.47%,882,779,1661
"Justice, 14th Court of Appeals District, Place 2",0114,2290,506,2796,3885,71.97%,1991,698,2689
"Justice, 14th Court of Appeals District, Place 2",0115,609,272,881,1843,47.80%,78,764,842
"Justice, 14th Court of Appeals District, Place 2",0116,1898,599,2497,3194,78.18%,1858,528,2386
"Justice, 14th Court of Appeals District, Place 2",0117,573,379,952,1900,50.11%,312,574,886
"Justice, 14th Court of Appeals District, Place 2",0118,1823,530,2353,3181,73.97%,1200,1046,2246
"Justice, 14th Court of Appeals District, Place 2",0119,2761,409,3170,4682,67.71%,2430,602,3032
"Justice, 14th Court of Appeals District, Place 2",0120,1807,588,2395,3732,64.17%,1378,899,2277
"Justice, 14th Court of Appeals District, Place 2",0121,354,221,575,966,59.52%,355,204,559
"Justice, 14th Court of Appeals District, Place 2",0122,732,284,1016,1904,53.36%,51,927,978
"Justice, 14th Court of Appeals District, Place 2",0123,749,287,1036,1585,65.36%,294,693,987
"Justice, 14th Court of Appeals District, Place 2",0124,3136,888,4024,5393,74.62%,3110,797,3907
"Justice, 14th Court of Appeals District, Place 2",0125,1207,400,1607,2593,61.97%,829,707,1536
"Justice, 14th Court of Appeals District, Place 2",0126,2017,427,2444,3380,72.31%,2027,324,2351
"Justice, 14th Court of Appeals District, Place 2",0127,978,214,1192,2091,57.01%,814,318,1132
"Justice, 14th Court of Appeals District, Place 2",0128,1107,612,1719,2322,74.03%,1055,537,1592
"Justice, 14th Court of Appeals District, Place 2",0129,2543,1052,3595,5172,69.51%,2064,1347,3411
"Justice, 14th Court of Appeals District, Place 2",0130,1312,433,1745,2289,76.23%,1231,436,1667
"Justice, 14th Court of Appeals District, Place 2",0131,798,371,1169,2147,54.45%,233,901,1134
"Justice, 14th Court of Appeals District, Place 2",0132,1030,322,1352,2378,56.85%,40,1284,1324
"Justice, 14th Court of Appeals District, Place 2",0133,1411,746,2157,2690,80.19%,1210,800,2010
"Justice, 14th Court of Appeals District, Place 2",0134,593,345,938,1513,62.00%,355,530,885
"Justice, 14th Court of Appeals District, Place 2",0135,1615,551,2166,2777,78.00%,1401,640,2041
"Justice, 14th Court of Appeals District, Place 2",0136,982,352,1334,2116,63.04%,72,1211,1283
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0137,993,259,1252,1986,63.04%,816,390,1206
"Justice, 14th Court of Appeals District, Place 2",0138,600,228,828,1723,48.06%,39,762,801
"Justice, 14th Court of Appeals District, Place 2",0139,1940,801,2541,3435,73.97%,1177,1189,2366
"Justice, 14th Court of Appeals District, Place 2",0140,1518,510,2028,3270,62.02%,313,1603,1916
"Justice, 14th Court of Appeals District, Place 2",0141,217,153,370,904,40.93%,192,150,342
"Justice, 14th Court of Appeals District, Place 2",0142,293,140,433,933,46.41%,86,316,402
"Justice, 14th Court of Appeals District, Place 2",0143,1868,267,2135,2582,82.69%,1372,700,2072
"Justice, 14th Court of Appeals District, Place 2",0144,442,125,567,1086,52.21%,17,531,548
"Justice, 14th Court of Appeals District, Place 2",0145,560,256,816,1564,52.17%,15,777,792
"Justice, 14th Court of Appeals District, Place 2",0146,1000,494,1494,2073,72.07%,615,790,1405
"Justice, 14th Court of Appeals District, Place 2",0147,1412,354,1766,3211,55.00%,212,1496,1708
"Justice, 14th Court of Appeals District, Place 2",0148,1266,652,1918,2571,74.60%,807,983,1790
"Justice, 14th Court of Appeals District, Place 2",0149,2939,573,3512,4756,73.84%,1895,1508,3403
"Justice, 14th Court of Appeals District, Place 2",0150,582,223,805,1574,51.14%,29,749,778
"Justice, 14th Court of Appeals District, Place 2",0151,282,107,389,826,47.09%,14,358,372
"Justice, 14th Court of Appeals District, Place 2",0152,838,524,1362,3059,44.52%,253,1026,1279
"Justice, 14th Court of Appeals District, Place 2",0153,544,399,943,1873,50.35%,196,695,891
"Justice, 14th Court of Appeals District, Place 2",0154,913,289,1202,2293,52.42%,234,876,1110
"Justice, 14th Court of Appeals District, Place 2",0155,2275,576,2851,4065,70.14%,1752,966,2718
"Justice, 14th Court of Appeals District, Place 2",0156,1415,403,1818,3223,56.41%,93,1651,1744
"Justice, 14th Court of Appeals District, Place 2",0157,880,278,1158,2265,51.13%,59,1064,1123
"Justice, 14th Court of Appeals District, Place 2",0158,1144,365,1509,3049,49.49%,30,1443,1473
"Justice, 14th Court of Appeals District, Place 2",0159,348,147,495,997,49.65%,77,399,476
"Justice, 14th Court of Appeals District, Place 2",0160,286,67,353,717,49.23%,14,325,339
"Justice, 14th Court of Appeals District, Place 2",0161,378,173,551,992,55.54%,16,515,531
"Justice, 14th Court of Appeals District, Place 2",0162,364,267,631,1312,48.09%,149,433,582
"Justice, 14th Court of Appeals District, Place 2",0163,1080,524,1604,3075,52.16%,424,1020,1444
"Justice, 14th Court of Appeals District, Place 2",0164,441,258,699,1407,49.68%,23,647,670
"Justice, 14th Court of Appeals District, Place 2",0165,1171,469,1640,2460,66.67%,913,633,1546
"Justice, 14th Court of Appeals District, Place 2",0166,562,261,823,1171,70.28%,261,511,772
"Justice, 14th Court of Appeals District, Place 2",0167,5,2,7,24,29.17%,0,6,6
"Justice, 14th Court of Appeals District, Place 2",0168,196,59,255,512,49.80%,6,244,250
"Justice, 14th Court of Appeals District, Place 2",0169,985,247,1232,2548,48.35%,32,1163,1195
"Justice, 14th Court of Appeals District, Place 2",0170,883,262,925,1958,47.24%,403,457,860
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0171,482,283,765,1648,46.42%,39,692,731
"Justice, 14th Court of Appeals District, Place 2",0172,245,103,348,661,52.65%,80,250,330
"Justice, 14th Court of Appeals District, Place 2",0173,2261,683,2944,3966,74.23%,2148,672,2820
"Justice, 14th Court of Appeals District, Place 2",0174,1717,707,2424,3389,71.53%,1560,726,2286
"Justice, 14th Court of Appeals District, Place 2",0175,1402,691,2093,2711,77.20%,1060,893,1953
"Justice, 14th Court of Appeals District, Place 2",0176,767,375,1142,1533,74.49%,561,493,1054
"Justice, 14th Court of Appeals District, Place 2",0177,938,333,1271,1715,74.11%,686,497,1183
"Justice, 14th Court of Appeals District, Place 2",0178,1116,273,1389,1795,77.38%,911,385,1296
"Justice, 14th Court of Appeals District, Place 2",0179,771,244,1015,1673,60.67%,466,490,956
"Justice, 14th Court of Appeals District, Place 2",0180,928,463,1391,2914,47.74%,47,1288,1335
"Justice, 14th Court of Appeals District, Place 2",0181,697,439,1136,2195,51.75%,245,831,1076
"Justice, 14th Court of Appeals District, Place 2",0182,1944,994,2938,4071,72.17%,1566,1164,2730
"Justice, 14th Court of Appeals District, Place 2",0183,1286,715,2001,2535,78.93%,1294,584,1878
"Justice, 14th Court of Appeals District, Place 2",0184,278,219,497,1048,47.42%,128,335,463
"Justice, 14th Court of Appeals District, Place 2",0185,709,444,1153,2054,56.13%,284,806,1090
"Justice, 14th Court of Appeals District, Place 2",0186,252,150,402,798,50.38%,32,356,388
"Justice, 14th Court of Appeals District, Place 2",0187,98,51,147,309,47.57%,21,114,135
"Justice, 14th Court of Appeals District, Place 2",0188,499,306,805,1711,47.05%,247,519,766
"Justice, 14th Court of Appeals District, Place 2",0189,804,279,1083,1505,71.96%,598,421,1019
"Justice, 14th Court of Appeals District, Place 2",0190,571,326,897,1849,48.51%,252,590,842
"Justice, 14th Court of Appeals District, Place 2",0191,327,259,586,1408,41.62%,174,386,560
"Justice, 14th Court of Appeals District, Place 2",0192,757,259,1016,1959,51.86%,56,919,975
"Justice, 14th Court of Appeals District, Place 2",0193,376,211,587,1099,53.41%,18,545,563
"Justice, 14th Court of Appeals District, Place 2",0194,1141,449,1590,2172,73.20%,452,1048,1500
"Justice, 14th Court of Appeals District, Place 2",0195,606,344,950,1739,54.63%,46,858,904
"Justice, 14th Court of Appeals District, Place 2",0196,132,37,169,313,53.99%,13,144,157
"Justice, 14th Court of Appeals District, Place 2",0197,998,372,1368,2969,46.08%,42,1281,1323
"Justice, 14th Court of Appeals District, Place 2",0198,161,82,243,619,39.26%,10,224,234
"Justice, 14th Court of Appeals District, Place 2",0199,1929,815,2744,4063,67.54%,2024,607,2631
"Justice, 14th Court of Appeals District, Place 2",0200,2308,377,2685,3692,72.72%,1202,1331,2533
"Justice, 14th Court of Appeals District, Place 2",0201,222,105,327,773,42.30%,14,308,322
"Justice, 14th Court of Appeals District, Place 2",0202,421,233,654,1410,46.38%,22,607,629
"Justice, 14th Court of Appeals District, Place 2",0203,298,111,409,988,41.40%,63,320,383
"Justice, 14th Court of Appeals District, Place 2",0204,2099,577,2676,3568,75.00%,1381,1103,2484
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0205,772,171,943,1724,54.70%,27,891,918
"Justice, 14th Court of Appeals District, Place 2",0206,1277,494,1771,2965,59.73%,511,1132,1643
"Justice, 14th Court of Appeals District, Place 2",0207,605,212,817,1166,70.07%,252,508,760
"Justice, 14th Court of Appeals District, Place 2",0208,909,338,1247,2256,55.27%,276,885,1161
"Justice, 14th Court of Appeals District, Place 2",0209,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0210,1261,489,1750,2781,62.93%,270,1412,1682
"Justice, 14th Court of Appeals District, Place 2",0211,964,595,1559,3130,49.81%,412,1041,1453
"Justice, 14th Court of Appeals District, Place 2",0212,309,323,632,1370,46.13%,95,493,588
"Justice, 14th Court of Appeals District, Place 2",0213,1782,795,2577,3406,75.66%,1989,482,2471
"Justice, 14th Court of Appeals District, Place 2",0214,1016,418,1434,1911,75.04%,835,490,1325
"Justice, 14th Court of Appeals District, Place 2",0215,1097,636,1733,2286,75.81%,984,645,1629
"Justice, 14th Court of Appeals District, Place 2",0216,778,244,1022,1966,51.98%,59,918,977
"Justice, 14th Court of Appeals District, Place 2",0217,1545,618,2163,2736,79.06%,1405,650,2055
"Justice, 14th Court of Appeals District, Place 2",0218,1100,457,1557,2467,63.11%,382,1056,1438
"Justice, 14th Court of Appeals District, Place 2",0219,1118,515,1633,2868,56.94%,148,1404,1552
"Justice, 14th Court of Appeals District, Place 2",0220,833,306,1139,2362,48.22%,700,376,1076
"Justice, 14th Court of Appeals District, Place 2",0221,1032,473,1505,2598,57.93%,467,943,1410
"Justice, 14th Court of Appeals District, Place 2",0222,1460,671,2131,2728,78.12%,1044,943,1987
"Justice, 14th Court of Appeals District, Place 2",0223,1751,517,2268,3664,61.90%,574,1556,2130
"Justice, 14th Court of Appeals District, Place 2",0224,1155,495,1551,2313,71.81%,761,789,1550
"Justice, 14th Court of Appeals District, Place 2",0225,1353,596,1949,3689,52.83%,804,1063,1867
"Justice, 14th Court of Appeals District, Place 2",0226,840,421,1261,2554,49.37%,234,963,1197
"Justice, 14th Court of Appeals District, Place 2",0227,1071,359,1430,1810,79.01%,1078,280,1358
"Justice, 14th Court of Appeals District, Place 2",0228,625,159,784,1175,66.72%,40,728,768
"Justice, 14th Court of Appeals District, Place 2",0229,227,168,395,828,47.71%,106,263,369
"Justice, 14th Court of Appeals District, Place 2",0230,353,165,518,1094,47.35%,24,477,501
"Justice, 14th Court of Appeals District, Place 2",0231,801,445,1246,2376,52.44%,253,929,1182
"Justice, 14th Court of Appeals District, Place 2",0232,941,438,1379,1826,75.52%,739,550,1289
"Justice, 14th Court of Appeals District, Place 2",0233,2575,703,3278,4713,69.55%,1475,1594,3069
"Justice, 14th Court of Appeals District, Place 2",0234,2421,728,3149,4042,77.91%,2312,671,2983
"Justice, 14th Court of Appeals District, Place 2",0235,461,203,664,1421,46.73%,23,611,634
"Justice, 14th Court of Appeals District, Place 2",0236,555,308,964,2104,45.82%,41,897,938
"Justice, 14th Court of Appeals District, Place 2",0237,739,312,1051,2146,48.97%,20,1000,1020
"Justice, 14th Court of Appeals District, Place 2",0238,606,317,923,1948,47.38%,29,856,885
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0239,694,334,1028,1984,51.81,%,37,968,1005
"Justice, 14th Court of Appeals District, Place 2",0240,1007,292,1299,2601,49.94%,26,1244,1270
"Justice, 14th Court of Appeals District, Place 2",0241,651,383,1034,2466,41.93%,318,672,990
"Justice, 14th Court of Appeals District, Place 2",0242,506,314,820,1744,47.02%,351,415,766
"Justice, 14th Court of Appeals District, Place 2",0243,245,42,287,475,60.42%,5,279,284
"Justice, 14th Court of Appeals District, Place 2",0244,1410,538,1948,3296,59.10%,900,964,1864
"Justice, 14th Court of Appeals District, Place 2",0245,2100,811,2911,4679,62.21%,1767,1007,2774
"Justice, 14th Court of Appeals District, Place 2",0246,2210,482,2692,3971,67.79%,1650,952,2602
"Justice, 14th Court of Appeals District, Place 2",0247,440,376,816,1595,51.16%,19,782,801
"Justice, 14th Court of Appeals District, Place 2",0248,453,347,800,2147,37.26%,170,585,755
"Justice, 14th Court of Appeals District, Place 2",0249,1126,365,1491,2825,52.78%,906,537,1443
"Justice, 14th Court of Appeals District, Place 2",0250,288,183,471,925,50.92%,19,443,462
"Justice, 14th Court of Appeals District, Place 2",0251,806,378,1184,2132,55.53%,61,1077,1138
"Justice, 14th Court of Appeals District, Place 2",0252,925,309,1235,2292,53.88%,25,1176,1201
"Justice, 14th Court of Appeals District, Place 2",0253,750,311,1071,2154,49.72%,29,1018,1047
"Justice, 14th Court of Appeals District, Place 2",0254,411,280,691,1675,41.25%,135,519,654
"Justice, 14th Court of Appeals District, Place 2",0255,1256,586,1842,2489,74.01%,811,909,1720
"Justice, 14th Court of Appeals District, Place 2",0256,1398,583,1981,3321,59.65%,638,1223,1861
"Justice, 14th Court of Appeals District, Place 2",0257,999,622,1621,3497,46.35%,359,1192,1551
"Justice, 14th Court of Appeals District, Place 2",0258,1948,608,2555,3346,76.39%,1823,600,2423
"Justice, 14th Court of Appeals District, Place 2",0259,1030,414,1444,2312,62.46%,35,1370,1405
"Justice, 14th Court of Appeals District, Place 2",0260,547,227,774,1300,59.54%,374,358,732
"Justice, 14th Court of Appeals District, Place 2",0261,442,531,973,1457,66.78%,257,655,912
"Justice, 14th Court of Appeals District, Place 2",0262,1847,676,2523,4397,57.38%,1331,1053,2384
"Justice, 14th Court of Appeals District, Place 2",0263,2208,665,2873,4016,71.54%,1991,752,2743
"Justice, 14th Court of Appeals District, Place 2",0264,1112,627,1739,3101,56.08%,851,789,1640
"Justice, 14th Court of Appeals District, Place 2",0265,1992,608,2600,3582,72.59%,1823,621,2444
"Justice, 14th Court of Appeals District, Place 2",0266,737,443,1180,2147,54.96%,426,691,1117
"Justice, 14th Court of Appeals District, Place 2",0267,421,293,714,1433,49.83%,254,420,674
"Justice, 14th Court of Appeals District, Place 2",0268,1175,689,1864,2528,73.73%,1054,679,1733
"Justice, 14th Court of Appeals District, Place 2",0269,1306,365,1671,2114,79.04%,1236,341,1577
"Justice, 14th Court of Appeals District, Place 2",0270,1816,688,2504,3985,62.84%,1197,1159,2356
"Justice, 14th Court of Appeals District, Place 2",0271,1150,346,1496,2558,58.48%,33,1436,1469
"Justice, 14th Court of Appeals District, Place 2",0272,871,415,1286,2334,55.10%,439,779,1218
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0273,1175,647,1822,2485,73.32%,1414,344,1758
"Justice, 14th Court of Appeals District, Place 2",0274,1253,311,1574,2223,70.81%,981,497,1478
"Justice, 14th Court of Appeals District, Place 2",0275,585,334,919,2059,44.63%,151,734,885
"Justice, 14th Court of Appeals District, Place 2",0276,1027,255,1282,2458,52.16%,24,1231,1255
"Justice, 14th Court of Appeals District, Place 2",0277,573,338,911,1898,48.00%,309,564,873
"Justice, 14th Court of Appeals District, Place 2",0278,1059,469,1528,2602,58.72%,625,812,1437
"Justice, 14th Court of Appeals District, Place 2",0279,789,314,1103,2073,53.21%,601,454,1055
"Justice, 14th Court of Appeals District, Place 2",0280,444,362,806,1656,48.67%,219,537,756
