Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Hilary H. Green,Totals
"Justice of the Peace, Precinct 7, Place 1",0384,1152,444,1596,2725,58.57%,1293,1293
"Justice of the Peace, Precinct 7, Place 1",0389,397,293,690,1359,50.77%,601,601
"Justice of the Peace, Precinct 7, Place 1",0390,898,271,969,1482,65.38%,849,849
"Justice of the Peace, Precinct 7, Place 1",0392,852,145,797,1426,55.89%,761,761
"Justice of the Peace, Precinct 7, Place 1",0402,897,262,1159,1911,60.65%,1066,1066
"Justice of the Peace, Precinct 7, Place 1",0422,1387,401,1768,3348,52.81%,1674,1674
"Justice of the Peace, Precinct 7, Place 1",0458,914,253,1167,2025,57.63%,1067,1067
"Justice of the Peace, Precinct 7, Place 1",0482,1474,738,2212,3507,63.07%,1570,1570
"Justice of the Peace, Precinct 7, Place 1",0489,885,344,1209,1958,61.75%,912,912
"Justice of the Peace, Precinct 7, Place 1",0506,1513,696,2209,3544,62.33%,1885,1885
"Justice of the Peace, Precinct 7, Place 1",0525,1440,574,2014,3260,61.78%,1621,1621
"Justice of the Peace, Precinct 7, Place 1",0538,371,203,574,1332,43.09%,549,549
"Justice of the Peace, Precinct 7, Place 1",0540,997,349,1346,1759,76.52%,936,936
"Justice of the Peace, Precinct 7, Place 1",0541,2157,761,2918,5001,58.35%,2493,2493
"Justice of the Peace, Precinct 7, Place 1",0542,1158,406,1562,2654,58.85%,1439,1439
"Justice of the Peace, Precinct 7, Place 1",0554,597,271,868,1774,48.93%,705,705
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Hilary H. Green,Totals
"Justice of the Peace, Precinct 7, Place 1",0555,639,390,1029,2286,45.01%,858,858
"Justice of the Peace, Precinct 7, Place 1",0564,1551,526,2077,3240,64.10%,1630,1630
"Justice of the Peace, Precinct 7, Place 1",0573,489,215,704,1625,43.32%,681,681
"Justice of the Peace, Precinct 7, Place 1",0607,163,51,214,712,30.06%,190,190
"Justice of the Peace, Precinct 7, Place 1",0630,2662,541,3203,4738,67.60%,2908,2908
"Justice of the Peace, Precinct 7, Place 1",0632,4,1,5,241,2.07%,5,5
"Justice of the Peace, Precinct 7, Place 1",0638,850,348,1198,2310,51.86%,1101,1101
"Justice of the Peace, Precinct 7, Place 1",0652,1155,545,1710,2979,57.40%,1468,1468
"Justice of the Peace, Precinct 7, Place 1",0693,309,110,419,681,61.53%,311,311
"Justice of the Peace, Precinct 7, Place 1",0722,1929,609,2538,4638,54.72%,2344,2344
"Justice of the Peace, Precinct 7, Place 1",0754,386,262,648,1590,40.75%,612,612
"Justice of the Peace, Precinct 7, Place 1",0819,108,31,139,228,60.96%,71,71
"Justice of the Peace, Precinct 7, Place 1",0820,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 7, Place 1",0822,571,185,756,1574,48.03%,700,700
"Justice of the Peace, Precinct 7, Place 1",0858,121,35,156,334,46.71%,142,142
"Justice of the Peace, Precinct 7, Place 1",0863,192,64,256,581,44.06%,241,241
"Justice of the Peace, Precinct 7, Place 1",0891,753,194,947,1376,68.82%,644,644
"Justice of the Peace, Precinct 7, Place 1",0893,1,4,5,9,55.56%,3,3
"Justice of the Peace, Precinct 7, Place 1",0931,87,28,115,141,81.56%,76,76
"Justice of the Peace, Precinct 7, Place 1",0932,0,1,1,0,0.00%,1,1
"Justice of the Peace, Precinct 7, Place 1",0933,297,93,390,668,58.38%,295,295
"Justice of the Peace, Precinct 7, Place 1",0947,428,198,626,820,76.34%,338,338
"Justice of the Peace, Precinct 7, Place 1",0948,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct 7, Place 1",0949,84,61,145,210,69.05%,85,85
"Justice of the Peace, Precinct 7, Place 1",0969,299,71,370,624,59.29%,356,356
"Justice of the Peace, Precinct 7, Place 1",0974,0,1,1,0,0.00%,0,0
"Justice of the Peace, Precinct 7, Place 1",0994,55,12,68,75,90.67%,52,52
"Justice of the Peace, Precinct 7, Place 1",0995,753,193,946,1576,60.03%,855,855
"Justice of the Peace, Precinct 7, Place 1",1010,292,96,388,647,59.97%,319,319
"Justice of the Peace, Precinct 7, Place 1",Totals;,76813,28804,105617,185660,90866,90866
